,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
74,0 days 01:14:30.203000,26.4,55.4,1000.8,False,43.7,22,2.6
75,0 days 01:15:30.212000,26.2,56.5,1000.8,False,43.2,23,3.3
77,0 days 01:17:30.232000,25.9,56.8,1000.8,False,43.6,21,1.1
78,0 days 01:18:30.237000,25.9,56.5,1000.9,False,43.6,14,1.5
80,0 days 01:20:30.313000,25.8,57.1,1000.8,False,43.6,38,2.0
81,0 days 01:21:30.265000,25.8,57.0,1000.7,False,43.6,23,2.2
83,0 days 01:23:30.272000,25.6,58.2,1000.8,False,43.2,2,2.0
84,0 days 01:24:30.281000,25.6,57.7,1000.8,False,43.2,14,1.8
86,0 days 01:26:30.281000,26.0,56.8,1000.7,False,43.7,11,1.5
87,0 days 01:27:30.297000,26.5,54.8,1000.7,False,45.1,25,2.4
89,0 days 01:29:30.329000,26.8,54.5,1000.8,False,44.3,17,2.3
90,0 days 01:30:30.343000,26.6,54.9,1000.7,False,44.0,17,3.4
92,0 days 01:32:30.337000,26.4,55.3,1000.7,False,43.7,16,1.5
93,0 days 01:33:30.358000,26.5,55.1,1000.6,False,43.8,17,2.6
95,0 days 01:35:30.374000,26.3,55.7,1000.7,False,43.7,4,1.6
96,0 days 01:36:30.408000,26.4,55.4,1000.7,False,43.9,14,1.8
98,0 days 01:38:30.382000,26.2,56.5,1000.7,False,44.1,245,2.4
100,0 days 01:40:30.377000,26.4,55.2,1000.7,False,44.3,15,2.0
101,0 days 01:41:30.370000,26.2,56.6,1000.8,False,44.3,20,1.4
103,0 days 01:43:30.391000,26.6,55.6,1000.7,False,43.9,28,1.4
104,0 days 01:44:30.377000,26.8,54.3,1000.7,False,43.9,357,3.0
106,0 days 01:46:30.372000,26.1,57.0,1000.6,False,43.7,3,2.9
107,0 days 01:47:31.381000,26.2,56.4,1000.8,False,43.8,357,2.5
109,0 days 01:49:30.374000,26.0,56.5,1000.7,False,43.2,21,1.9
110,0 days 01:50:30.387000,25.9,57.4,1000.7,False,43.2,15,1.8
112,0 days 01:52:30.399000,26.1,56.6,1000.7,False,43.5,33,1.8
33,0 days 00:33:30.085000,24.2,61.2,1001.1,False,42.9,13,3.2
35,0 days 00:35:30.084000,24.5,61.2,1001.1,False,42.6,5,3.7
36,0 days 00:36:31.190000,24.9,59.9,1001.2,False,42.8,19,1.9
38,0 days 00:38:30.089000,24.9,59.4,1001.0,False,43.1,295,2.0
39,0 days 00:39:30.085000,24.9,59.8,1001.0,False,43.0,11,1.9
41,0 days 00:41:30.110000,25.1,58.7,1001.0,False,43.3,18,2.4
42,0 days 00:42:30.117000,25.2,58.7,1001.0,False,43.1,17,3.5
44,0 days 00:44:30.103000,25.1,58.4,1001.0,False,43.1,285,3.0
46,0 days 00:46:30.154000,25.4,57.8,1000.9,False,43.4,3,2.3
47,0 days 00:47:30.101000,25.5,58.3,1001.0,False,43.8,7,2.1
49,0 days 00:49:30.130000,25.5,58.5,1000.9,False,44.0,22,2.1
50,0 days 00:50:30.127000,25.7,57.3,1000.9,False,44.0,10,3.0
52,0 days 00:52:30.113000,25.7,56.8,1000.9,False,43.5,330,1.3
53,0 days 00:53:30.123000,25.5,57.4,1000.9,False,42.9,343,1.8
55,0 days 00:55:30.180000,25.5,58.3,1000.7,False,43.3,28,2.2
57,0 days 00:57:30.147000,25.4,57.8,1000.9,False,43.6,296,3.1
58,0 days 00:58:30.140000,25.4,58.5,1000.8,False,43.6,29,2.1
60,0 days 01:00:30.137000,25.4,58.3,1000.8,False,44.0,309,1.4
61,0 days 01:01:30.124000,25.5,58.4,1000.9,False,43.9,6,1.8
63,0 days 01:03:30.162000,25.5,57.8,1000.9,False,43.6,14,2.5
64,0 days 01:04:30.143000,25.6,57.9,1000.8,False,44.0,22,2.3
66,0 days 01:06:30.133000,25.8,56.8,1001.0,False,43.8,13,2.1
67,0 days 01:07:30.112000,25.9,56.5,1000.9,False,43.8,4,1.0
69,0 days 01:09:30.170000,26.4,54.7,1000.9,False,44.6,287,1.0
70,0 days 01:10:30.187000,26.5,54.6,1000.9,False,44.6,33,1.8
72,0 days 01:12:30.190000,26.6,54.5,1000.9,False,44.8,7,1.4
74,0 days 01:14:30.203000,26.4,55.4,1000.8,False,43.7,22,2.6
75,0 days 01:15:30.212000,26.2,56.5,1000.8,False,43.2,23,3.3
77,0 days 01:17:30.232000,25.9,56.8,1000.8,False,43.6,21,1.1
78,0 days 01:18:30.237000,25.9,56.5,1000.9,False,43.6,14,1.5
80,0 days 01:20:30.313000,25.8,57.1,1000.8,False,43.6,38,2.0
81,0 days 01:21:30.265000,25.8,57.0,1000.7,False,43.6,23,2.2
83,0 days 01:23:30.272000,25.6,58.2,1000.8,False,43.2,2,2.0
84,0 days 01:24:30.281000,25.6,57.7,1000.8,False,43.2,14,1.8
86,0 days 01:26:30.281000,26.0,56.8,1000.7,False,43.7,11,1.5
88,0 days 01:28:30.306000,26.6,55.0,1000.8,False,45.0,16,1.7
89,0 days 01:29:30.329000,26.8,54.5,1000.8,False,44.3,17,2.3
91,0 days 01:31:30.351000,26.5,55.4,1000.7,False,43.7,16,3.0
92,0 days 01:32:30.337000,26.4,55.3,1000.7,False,43.7,16,1.5
94,0 days 01:34:30.376000,26.2,56.2,1000.7,False,43.6,2,1.7
95,0 days 01:35:30.374000,26.3,55.7,1000.7,False,43.7,4,1.6
97,0 days 01:37:30.384000,26.4,56.1,1000.7,False,43.7,48,1.8
98,0 days 01:38:30.382000,26.2,56.5,1000.7,False,44.1,245,2.4
100,0 days 01:40:30.377000,26.4,55.2,1000.7,False,44.3,15,2.0
101,0 days 01:41:30.370000,26.2,56.6,1000.8,False,44.3,20,1.4
103,0 days 01:43:30.391000,26.6,55.6,1000.7,False,43.9,28,1.4
104,0 days 01:44:30.377000,26.8,54.3,1000.7,False,43.9,357,3.0
106,0 days 01:46:30.372000,26.1,57.0,1000.6,False,43.7,3,2.9
107,0 days 01:47:31.381000,26.2,56.4,1000.8,False,43.8,357,2.5
109,0 days 01:49:30.374000,26.0,56.5,1000.7,False,43.2,21,1.9
110,0 days 01:50:30.387000,25.9,57.4,1000.7,False,43.2,15,1.8
112,0 days 01:52:30.399000,26.1,56.6,1000.7,False,43.5,33,1.8
33,0 days 00:33:30.085000,24.2,61.2,1001.1,False,42.9,13,3.2
35,0 days 00:35:30.084000,24.5,61.2,1001.1,False,42.6,5,3.7
37,0 days 00:37:30.077000,24.9,59.9,1001.1,False,43.0,66,1.9
38,0 days 00:38:30.089000,24.9,59.4,1001.0,False,43.1,295,2.0
40,0 days 00:40:30.107000,25.0,59.4,1001.0,False,43.0,8,3.3
41,0 days 00:41:30.110000,25.1,58.7,1001.0,False,43.3,18,2.4
43,0 days 00:43:30.119000,25.1,58.3,1001.0,False,43.1,6,3.0
44,0 days 00:44:30.103000,25.1,58.4,1001.0,False,43.1,285,3.0
46,0 days 00:46:30.154000,25.4,57.8,1000.9,False,43.4,3,2.3
47,0 days 00:47:30.101000,25.5,58.3,1001.0,False,43.8,7,2.1
49,0 days 00:49:30.130000,25.5,58.5,1000.9,False,44.0,22,2.1
51,0 days 00:51:30.127000,25.7,57.2,1000.9,False,44.0,30,2.7
52,0 days 00:52:30.113000,25.7,56.8,1000.9,False,43.5,330,1.3
54,0 days 00:54:30.108000,25.4,57.9,1001.0,False,42.9,315,1.5
55,0 days 00:55:30.180000,25.5,58.3,1000.7,False,43.3,28,2.2
57,0 days 00:57:30.147000,25.4,57.8,1000.9,False,43.6,296,3.1
58,0 days 00:58:30.140000,25.4,58.5,1000.8,False,43.6,29,2.1
60,0 days 01:00:30.137000,25.4,58.3,1000.8,False,44.0,309,1.4
61,0 days 01:01:30.124000,25.5,58.4,1000.9,False,43.9,6,1.8
63,0 days 01:03:30.162000,25.5,57.8,1000.9,False,43.6,14,2.5
65,0 days 01:05:30.193000,25.9,56.8,1000.9,False,44.0,12,2.5
66,0 days 01:06:30.133000,25.8,56.8,1001.0,False,43.8,13,2.1
68,0 days 01:08:30.185000,26.3,55.0,1000.9,False,44.5,320,1.7
69,0 days 01:09:30.170000,26.4,54.7,1000.9,False,44.6,287,1.0
71,0 days 01:11:30.182000,26.6,54.3,1000.9,False,44.6,7,1.9
72,0 days 01:12:30.190000,26.6,54.5,1000.9,False,44.8,7,1.4
74,0 days 01:14:30.203000,26.4,55.4,1000.8,False,43.7,22,2.6
75,0 days 01:15:30.212000,26.2,56.5,1000.8,False,43.2,23,3.3
77,0 days 01:17:30.232000,25.9,56.8,1000.8,False,43.6,21,1.1
78,0 days 01:18:30.237000,25.9,56.5,1000.9,False,43.6,14,1.5
80,0 days 01:20:30.313000,25.8,57.1,1000.8,False,43.6,38,2.0
81,0 days 01:21:30.265000,25.8,57.0,1000.7,False,43.6,23,2.2
83,0 days 01:23:30.272000,25.6,58.2,1000.8,False,43.2,2,2.0
85,0 days 01:25:30.253000,25.7,57.6,1000.7,False,43.5,312,1.8
86,0 days 01:26:30.281000,26.0,56.8,1000.7,False,43.7,11,1.5
88,0 days 01:28:30.306000,26.6,55.0,1000.8,False,45.0,16,1.7
89,0 days 01:29:30.329000,26.8,54.5,1000.8,False,44.3,17,2.3
91,0 days 01:31:30.351000,26.5,55.4,1000.7,False,43.7,16,3.0
92,0 days 01:32:30.337000,26.4,55.3,1000.7,False,43.7,16,1.5
94,0 days 01:34:30.376000,26.2,56.2,1000.7,False,43.6,2,1.7
