,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
208,0 days 03:28:46.109000,15.9,91.0,1015.4,True,18.3,347,3.5
210,0 days 03:30:46.124000,15.9,91.0,1015.2,True,18.4,326,3.4
212,0 days 03:32:46.135000,15.8,91.0,1015.2,True,18.2,343,3.0
214,0 days 03:34:46.139000,15.9,91.0,1015.2,True,18.2,355,1.7
215,0 days 03:35:46.147000,15.8,91.0,1015.2,True,18.3,353,3.5
217,0 days 03:37:46.141000,15.8,91.0,1015.2,False,18.2,339,2.9
219,0 days 03:39:46.142000,15.9,91.0,1015.2,False,18.3,347,2.5
221,0 days 03:41:46.135000,15.9,91.0,1015.2,True,18.3,325,2.2
223,0 days 03:43:46.181000,15.9,91.0,1015.2,True,18.3,324,2.2
224,0 days 03:44:46.137000,15.9,91.0,1015.2,True,18.3,352,2.5
226,0 days 03:46:46.137000,15.9,91.0,1015.0,True,18.3,357,3.0
228,0 days 03:48:46.136000,15.9,91.0,1015.2,True,18.3,349,2.2
230,0 days 03:50:46.135000,15.9,90.0,1015.2,True,18.3,353,2.0
232,0 days 03:52:46.136000,15.9,91.0,1015.0,True,18.2,342,1.6
234,0 days 03:54:46.141000,15.9,90.0,1014.9,True,18.3,347,2.4
235,0 days 03:55:46.135000,15.9,90.0,1014.9,True,18.3,352,2.7
237,0 days 03:57:46.139000,15.9,90.0,1014.9,True,18.3,321,2.7
239,0 days 03:59:46.137000,15.9,90.0,1015.0,True,18.2,348,2.2
241,0 days 04:01:46.141000,15.9,90.0,1014.9,True,18.2,340,2.0
243,0 days 04:03:46.136000,15.9,90.0,1014.9,True,18.2,302,2.0
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
65,0 days 01:05:45.639000,17.5,84.0,1015.7,True,21.2,320,1.5
194,0 days 03:14:46.059000,15.9,92.0,1015.7,True,18.7,332,2.5
197,0 days 03:17:46.081000,15.9,91.0,1015.7,True,18.8,348,2.9
200,0 days 03:20:46.073000,15.9,91.0,1015.5,True,18.6,345,3.0
203,0 days 03:23:46.105000,15.9,91.0,1015.5,True,18.6,349,2.7
205,0 days 03:25:46.105000,15.9,91.0,1015.4,True,18.5,342,3.7
207,0 days 03:27:46.110000,15.9,91.0,1015.4,True,18.3,341,4.0
209,0 days 03:29:46.133000,15.9,91.0,1015.2,True,18.4,351,3.5
211,0 days 03:31:46.131000,15.9,91.0,1015.2,True,18.4,341,3.5
212,0 days 03:32:46.135000,15.8,91.0,1015.2,True,18.2,343,3.0
214,0 days 03:34:46.139000,15.9,91.0,1015.2,True,18.2,355,1.7
216,0 days 03:36:46.137000,15.9,91.0,1015.0,False,18.3,335,2.4
218,0 days 03:38:46.135000,15.9,91.0,1015.2,False,18.3,353,3.0
220,0 days 03:40:46.137000,15.9,91.0,1015.0,False,18.3,354,2.5
221,0 days 03:41:46.135000,15.9,91.0,1015.2,True,18.3,325,2.2
223,0 days 03:43:46.181000,15.9,91.0,1015.2,True,18.3,324,2.2
225,0 days 03:45:46.144000,15.8,91.0,1015.2,True,18.3,354,2.2
227,0 days 03:47:46.135000,15.9,91.0,1015.0,True,18.3,336,1.7
229,0 days 03:49:46.139000,15.9,91.0,1015.2,True,18.3,348,2.2
231,0 days 03:51:46.201000,15.9,91.0,1015.0,True,18.3,341,2.5
233,0 days 03:53:46.140000,15.9,90.0,1015.0,True,18.3,330,2.5
234,0 days 03:54:46.141000,15.9,90.0,1014.9,True,18.3,347,2.4
236,0 days 03:56:46.135000,15.9,90.0,1014.9,True,18.3,345,3.0
238,0 days 03:58:46.135000,15.9,90.0,1015.0,True,18.3,347,2.2
240,0 days 04:00:46.139000,15.9,90.0,1015.0,True,18.1,352,1.8
242,0 days 04:02:46.139000,15.9,90.0,1014.7,True,18.2,338,2.2
243,0 days 04:03:46.136000,15.9,90.0,1014.9,True,18.2,302,2.0
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
65,0 days 01:05:45.639000,17.5,84.0,1015.7,True,21.2,320,1.5
194,0 days 03:14:46.059000,15.9,92.0,1015.7,True,18.7,332,2.5
197,0 days 03:17:46.081000,15.9,91.0,1015.7,True,18.8,348,2.9
200,0 days 03:20:46.073000,15.9,91.0,1015.5,True,18.6,345,3.0
203,0 days 03:23:46.105000,15.9,91.0,1015.5,True,18.6,349,2.7
205,0 days 03:25:46.105000,15.9,91.0,1015.4,True,18.5,342,3.7
207,0 days 03:27:46.110000,15.9,91.0,1015.4,True,18.3,341,4.0
209,0 days 03:29:46.133000,15.9,91.0,1015.2,True,18.4,351,3.5
211,0 days 03:31:46.131000,15.9,91.0,1015.2,True,18.4,341,3.5
212,0 days 03:32:46.135000,15.8,91.0,1015.2,True,18.2,343,3.0
214,0 days 03:34:46.139000,15.9,91.0,1015.2,True,18.2,355,1.7
216,0 days 03:36:46.137000,15.9,91.0,1015.0,False,18.3,335,2.4
218,0 days 03:38:46.135000,15.9,91.0,1015.2,False,18.3,353,3.0
220,0 days 03:40:46.137000,15.9,91.0,1015.0,False,18.3,354,2.5
222,0 days 03:42:46.134000,16.0,91.0,1015.2,True,18.4,351,3.0
223,0 days 03:43:46.181000,15.9,91.0,1015.2,True,18.3,324,2.2
225,0 days 03:45:46.144000,15.8,91.0,1015.2,True,18.3,354,2.2
227,0 days 03:47:46.135000,15.9,91.0,1015.0,True,18.3,336,1.7
229,0 days 03:49:46.139000,15.9,91.0,1015.2,True,18.3,348,2.2
231,0 days 03:51:46.201000,15.9,91.0,1015.0,True,18.3,341,2.5
233,0 days 03:53:46.140000,15.9,90.0,1015.0,True,18.3,330,2.5
234,0 days 03:54:46.141000,15.9,90.0,1014.9,True,18.3,347,2.4
236,0 days 03:56:46.135000,15.9,90.0,1014.9,True,18.3,345,3.0
238,0 days 03:58:46.135000,15.9,90.0,1015.0,True,18.3,347,2.2
240,0 days 04:00:46.139000,15.9,90.0,1015.0,True,18.1,352,1.8
242,0 days 04:02:46.139000,15.9,90.0,1014.7,True,18.2,338,2.2
244,0 days 04:04:46.135000,15.9,90.0,1014.9,True,18.2,348,2.7
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
65,0 days 01:05:45.639000,17.5,84.0,1015.7,True,21.2,320,1.5
194,0 days 03:14:46.059000,15.9,92.0,1015.7,True,18.7,332,2.5
197,0 days 03:17:46.081000,15.9,91.0,1015.7,True,18.8,348,2.9
200,0 days 03:20:46.073000,15.9,91.0,1015.5,True,18.6,345,3.0
203,0 days 03:23:46.105000,15.9,91.0,1015.5,True,18.6,349,2.7
205,0 days 03:25:46.105000,15.9,91.0,1015.4,True,18.5,342,3.7
207,0 days 03:27:46.110000,15.9,91.0,1015.4,True,18.3,341,4.0
209,0 days 03:29:46.133000,15.9,91.0,1015.2,True,18.4,351,3.5
211,0 days 03:31:46.131000,15.9,91.0,1015.2,True,18.4,341,3.5
212,0 days 03:32:46.135000,15.8,91.0,1015.2,True,18.2,343,3.0
214,0 days 03:34:46.139000,15.9,91.0,1015.2,True,18.2,355,1.7
216,0 days 03:36:46.137000,15.9,91.0,1015.0,False,18.3,335,2.4
218,0 days 03:38:46.135000,15.9,91.0,1015.2,False,18.3,353,3.0
220,0 days 03:40:46.137000,15.9,91.0,1015.0,False,18.3,354,2.5
221,0 days 03:41:46.135000,15.9,91.0,1015.2,True,18.3,325,2.2
223,0 days 03:43:46.181000,15.9,91.0,1015.2,True,18.3,324,2.2
225,0 days 03:45:46.144000,15.8,91.0,1015.2,True,18.3,354,2.2
227,0 days 03:47:46.135000,15.9,91.0,1015.0,True,18.3,336,1.7
229,0 days 03:49:46.139000,15.9,91.0,1015.2,True,18.3,348,2.2
231,0 days 03:51:46.201000,15.9,91.0,1015.0,True,18.3,341,2.5
233,0 days 03:53:46.140000,15.9,90.0,1015.0,True,18.3,330,2.5
235,0 days 03:55:46.135000,15.9,90.0,1014.9,True,18.3,352,2.7
236,0 days 03:56:46.135000,15.9,90.0,1014.9,True,18.3,345,3.0
238,0 days 03:58:46.135000,15.9,90.0,1015.0,True,18.3,347,2.2
240,0 days 04:00:46.139000,15.9,90.0,1015.0,True,18.1,352,1.8
242,0 days 04:02:46.139000,15.9,90.0,1014.7,True,18.2,338,2.2
244,0 days 04:04:46.135000,15.9,90.0,1014.9,True,18.2,348,2.7
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
65,0 days 01:05:45.639000,17.5,84.0,1015.7,True,21.2,320,1.5
194,0 days 03:14:46.059000,15.9,92.0,1015.7,True,18.7,332,2.5
197,0 days 03:17:46.081000,15.9,91.0,1015.7,True,18.8,348,2.9
200,0 days 03:20:46.073000,15.9,91.0,1015.5,True,18.6,345,3.0
203,0 days 03:23:46.105000,15.9,91.0,1015.5,True,18.6,349,2.7
205,0 days 03:25:46.105000,15.9,91.0,1015.4,True,18.5,342,3.7
207,0 days 03:27:46.110000,15.9,91.0,1015.4,True,18.3,341,4.0
208,0 days 03:28:46.109000,15.9,91.0,1015.4,True,18.3,347,3.5
210,0 days 03:30:46.124000,15.9,91.0,1015.2,True,18.4,326,3.4
213,0 days 03:33:46.135000,15.9,91.0,1015.2,True,18.2,354,2.5
214,0 days 03:34:46.139000,15.9,91.0,1015.2,True,18.2,355,1.7
216,0 days 03:36:46.137000,15.9,91.0,1015.0,False,18.3,335,2.4
218,0 days 03:38:46.135000,15.9,91.0,1015.2,False,18.3,353,3.0
220,0 days 03:40:46.137000,15.9,91.0,1015.0,False,18.3,354,2.5
222,0 days 03:42:46.134000,16.0,91.0,1015.2,True,18.4,351,3.0
223,0 days 03:43:46.181000,15.9,91.0,1015.2,True,18.3,324,2.2
225,0 days 03:45:46.144000,15.8,91.0,1015.2,True,18.3,354,2.2
227,0 days 03:47:46.135000,15.9,91.0,1015.0,True,18.3,336,1.7
229,0 days 03:49:46.139000,15.9,91.0,1015.2,True,18.3,348,2.2
231,0 days 03:51:46.201000,15.9,91.0,1015.0,True,18.3,341,2.5
233,0 days 03:53:46.140000,15.9,90.0,1015.0,True,18.3,330,2.5
235,0 days 03:55:46.135000,15.9,90.0,1014.9,True,18.3,352,2.7
236,0 days 03:56:46.135000,15.9,90.0,1014.9,True,18.3,345,3.0
238,0 days 03:58:46.135000,15.9,90.0,1015.0,True,18.3,347,2.2
240,0 days 04:00:46.139000,15.9,90.0,1015.0,True,18.1,352,1.8
242,0 days 04:02:46.139000,15.9,90.0,1014.7,True,18.2,338,2.2
244,0 days 04:04:46.135000,15.9,90.0,1014.9,True,18.2,348,2.7
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
65,0 days 01:05:45.639000,17.5,84.0,1015.7,True,21.2,320,1.5
194,0 days 03:14:46.059000,15.9,92.0,1015.7,True,18.7,332,2.5
197,0 days 03:17:46.081000,15.9,91.0,1015.7,True,18.8,348,2.9
200,0 days 03:20:46.073000,15.9,91.0,1015.5,True,18.6,345,3.0
203,0 days 03:23:46.105000,15.9,91.0,1015.5,True,18.6,349,2.7
205,0 days 03:25:46.105000,15.9,91.0,1015.4,True,18.5,342,3.7
206,0 days 03:26:46.104000,15.9,91.0,1015.5,True,18.3,350,2.7
208,0 days 03:28:46.109000,15.9,91.0,1015.4,True,18.3,347,3.5
211,0 days 03:31:46.131000,15.9,91.0,1015.2,True,18.4,341,3.5
212,0 days 03:32:46.135000,15.8,91.0,1015.2,True,18.2,343,3.0
214,0 days 03:34:46.139000,15.9,91.0,1015.2,True,18.2,355,1.7
216,0 days 03:36:46.137000,15.9,91.0,1015.0,False,18.3,335,2.4
218,0 days 03:38:46.135000,15.9,91.0,1015.2,False,18.3,353,3.0
220,0 days 03:40:46.137000,15.9,91.0,1015.0,False,18.3,354,2.5
221,0 days 03:41:46.135000,15.9,91.0,1015.2,True,18.3,325,2.2
223,0 days 03:43:46.181000,15.9,91.0,1015.2,True,18.3,324,2.2
225,0 days 03:45:46.144000,15.8,91.0,1015.2,True,18.3,354,2.2
227,0 days 03:47:46.135000,15.9,91.0,1015.0,True,18.3,336,1.7
229,0 days 03:49:46.139000,15.9,91.0,1015.2,True,18.3,348,2.2
231,0 days 03:51:46.201000,15.9,91.0,1015.0,True,18.3,341,2.5
232,0 days 03:52:46.136000,15.9,91.0,1015.0,True,18.2,342,1.6
234,0 days 03:54:46.141000,15.9,90.0,1014.9,True,18.3,347,2.4
236,0 days 03:56:46.135000,15.9,90.0,1014.9,True,18.3,345,3.0
238,0 days 03:58:46.135000,15.9,90.0,1015.0,True,18.3,347,2.2
240,0 days 04:00:46.139000,15.9,90.0,1015.0,True,18.1,352,1.8
242,0 days 04:02:46.139000,15.9,90.0,1014.7,True,18.2,338,2.2
243,0 days 04:03:46.136000,15.9,90.0,1014.9,True,18.2,302,2.0
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
65,0 days 01:05:45.639000,17.5,84.0,1015.7,True,21.2,320,1.5
194,0 days 03:14:46.059000,15.9,92.0,1015.7,True,18.7,332,2.5
197,0 days 03:17:46.081000,15.9,91.0,1015.7,True,18.8,348,2.9
200,0 days 03:20:46.073000,15.9,91.0,1015.5,True,18.6,345,3.0
203,0 days 03:23:46.105000,15.9,91.0,1015.5,True,18.6,349,2.7
204,0 days 03:24:46.117000,15.9,91.0,1015.4,True,18.5,353,2.7
206,0 days 03:26:46.104000,15.9,91.0,1015.5,True,18.3,350,2.7
209,0 days 03:29:46.133000,15.9,91.0,1015.2,True,18.4,351,3.5
210,0 days 03:30:46.124000,15.9,91.0,1015.2,True,18.4,326,3.4
212,0 days 03:32:46.135000,15.8,91.0,1015.2,True,18.2,343,3.0
214,0 days 03:34:46.139000,15.9,91.0,1015.2,True,18.2,355,1.7
216,0 days 03:36:46.137000,15.9,91.0,1015.0,False,18.3,335,2.4
217,0 days 03:37:46.141000,15.8,91.0,1015.2,False,18.2,339,2.9
219,0 days 03:39:46.142000,15.9,91.0,1015.2,False,18.3,347,2.5
221,0 days 03:41:46.135000,15.9,91.0,1015.2,True,18.3,325,2.2
223,0 days 03:43:46.181000,15.9,91.0,1015.2,True,18.3,324,2.2
225,0 days 03:45:46.144000,15.8,91.0,1015.2,True,18.3,354,2.2
227,0 days 03:47:46.135000,15.9,91.0,1015.0,True,18.3,336,1.7
228,0 days 03:48:46.136000,15.9,91.0,1015.2,True,18.3,349,2.2
230,0 days 03:50:46.135000,15.9,90.0,1015.2,True,18.3,353,2.0
232,0 days 03:52:46.136000,15.9,91.0,1015.0,True,18.2,342,1.6
234,0 days 03:54:46.141000,15.9,90.0,1014.9,True,18.3,347,2.4
236,0 days 03:56:46.135000,15.9,90.0,1014.9,True,18.3,345,3.0
237,0 days 03:57:46.139000,15.9,90.0,1014.9,True,18.3,321,2.7
239,0 days 03:59:46.137000,15.9,90.0,1015.0,True,18.2,348,2.2
241,0 days 04:01:46.141000,15.9,90.0,1014.9,True,18.2,340,2.0
243,0 days 04:03:46.136000,15.9,90.0,1014.9,True,18.2,302,2.0
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
65,0 days 01:05:45.639000,17.5,84.0,1015.7,True,21.2,320,1.5
194,0 days 03:14:46.059000,15.9,92.0,1015.7,True,18.7,332,2.5
197,0 days 03:17:46.081000,15.9,91.0,1015.7,True,18.8,348,2.9
200,0 days 03:20:46.073000,15.9,91.0,1015.5,True,18.6,345,3.0
203,0 days 03:23:46.105000,15.9,91.0,1015.5,True,18.6,349,2.7
205,0 days 03:25:46.105000,15.9,91.0,1015.4,True,18.5,342,3.7
207,0 days 03:27:46.110000,15.9,91.0,1015.4,True,18.3,341,4.0
209,0 days 03:29:46.133000,15.9,91.0,1015.2,True,18.4,351,3.5
210,0 days 03:30:46.124000,15.9,91.0,1015.2,True,18.4,326,3.4
212,0 days 03:32:46.135000,15.8,91.0,1015.2,True,18.2,343,3.0
214,0 days 03:34:46.139000,15.9,91.0,1015.2,True,18.2,355,1.7
216,0 days 03:36:46.137000,15.9,91.0,1015.0,False,18.3,335,2.4
218,0 days 03:38:46.135000,15.9,91.0,1015.2,False,18.3,353,3.0
220,0 days 03:40:46.137000,15.9,91.0,1015.0,False,18.3,354,2.5
221,0 days 03:41:46.135000,15.9,91.0,1015.2,True,18.3,325,2.2
223,0 days 03:43:46.181000,15.9,91.0,1015.2,True,18.3,324,2.2
225,0 days 03:45:46.144000,15.8,91.0,1015.2,True,18.3,354,2.2
227,0 days 03:47:46.135000,15.9,91.0,1015.0,True,18.3,336,1.7
229,0 days 03:49:46.139000,15.9,91.0,1015.2,True,18.3,348,2.2
231,0 days 03:51:46.201000,15.9,91.0,1015.0,True,18.3,341,2.5
232,0 days 03:52:46.136000,15.9,91.0,1015.0,True,18.2,342,1.6
234,0 days 03:54:46.141000,15.9,90.0,1014.9,True,18.3,347,2.4
236,0 days 03:56:46.135000,15.9,90.0,1014.9,True,18.3,345,3.0
238,0 days 03:58:46.135000,15.9,90.0,1015.0,True,18.3,347,2.2
240,0 days 04:00:46.139000,15.9,90.0,1015.0,True,18.1,352,1.8
242,0 days 04:02:46.139000,15.9,90.0,1014.7,True,18.2,338,2.2
243,0 days 04:03:46.136000,15.9,90.0,1014.9,True,18.2,302,2.0
62,0 days 01:02:45.627000,17.5,83.0,1015.7,True,21.1,341,1.3
65,0 days 01:05:45.639000,17.5,84.0,1015.7,True,21.2,320,1.5
194,0 days 03:14:46.059000,15.9,92.0,1015.7,True,18.7,332,2.5
197,0 days 03:17:46.081000,15.9,91.0,1015.7,True,18.8,348,2.9
200,0 days 03:20:46.073000,15.9,91.0,1015.5,True,18.6,345,3.0
203,0 days 03:23:46.105000,15.9,91.0,1015.5,True,18.6,349,2.7
204,0 days 03:24:46.117000,15.9,91.0,1015.4,True,18.5,353,2.7
206,0 days 03:26:46.104000,15.9,91.0,1015.5,True,18.3,350,2.7
