,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
109,0 days 01:49:22.389000,27.4,40.0,1013.0,False,39.2,187,0.5
111,0 days 01:51:22.387000,27.4,41.0,1013.0,False,39.1,100,2.2
112,0 days 01:52:22.417000,27.3,42.0,1012.9,False,38.7,161,1.0
114,0 days 01:54:22.383000,27.4,42.0,1012.9,False,38.2,114,1.7
115,0 days 01:55:22.398000,27.3,41.0,1013.0,False,38.4,113,1.7
117,0 days 01:57:22.396000,27.4,40.0,1012.9,False,38.4,148,1.0
119,0 days 01:59:22.394000,27.4,42.0,1012.9,False,38.3,137,1.1
120,0 days 02:00:22.393000,27.4,41.0,1012.9,False,38.1,136,1.8
122,0 days 02:02:22.391000,27.3,41.0,1012.7,False,37.8,72,1.2
124,0 days 02:04:22.404000,27.2,41.0,1012.7,False,37.7,97,1.5
125,0 days 02:05:22.403000,27.2,42.0,1012.7,False,37.6,64,1.0
127,0 days 02:07:22.401000,27.3,42.0,1012.7,False,37.4,353,1.1
129,0 days 02:09:22.414000,27.4,41.0,1012.7,False,38.0,140,0.8
130,0 days 02:10:22.413000,27.3,42.0,1012.7,False,38.0,115,1.5
132,0 days 02:12:22.427000,27.3,45.0,1012.7,False,37.0,157,1.7
134,0 days 02:14:22.456000,27.3,44.0,1012.7,False,37.3,110,1.0
135,0 days 02:15:22.455000,27.3,45.0,1012.9,False,37.2,140,1.6
137,0 days 02:17:22.453000,27.4,44.0,1012.7,False,37.4,143,0.5
138,0 days 02:18:22.452000,27.3,45.0,1012.7,False,37.4,108,1.6
140,0 days 02:20:22.465000,27.1,44.0,1012.7,False,36.9,114,1.8
142,0 days 02:22:22.463000,27.1,44.0,1012.9,False,36.9,93,2.7
143,0 days 02:23:22.478000,27.2,45.0,1012.7,False,36.6,101,1.7
145,0 days 02:25:22.491000,27.1,45.0,1012.9,False,36.8,126,1.5
146,0 days 02:26:22.506000,27.1,46.0,1012.7,False,36.6,104,2.2
148,0 days 02:28:22.519000,27.2,47.0,1012.9,False,36.6,116,1.5
150,0 days 02:30:22.533000,27.2,47.0,1012.9,False,36.7,114,1.8
151,0 days 02:31:22.532000,27.3,46.0,1012.9,False,36.8,139,0.6
153,0 days 02:33:22.530000,27.1,47.0,1012.7,False,36.5,49,1.3
63,0 days 01:03:22.235000,27.0,42.0,1013.0,False,44.0,145,2.5
65,0 days 01:05:22.232000,27.0,41.0,1013.0,False,43.9,129,1.7
68,0 days 01:08:22.229000,27.1,42.0,1013.0,False,43.5,110,1.5
71,0 days 01:11:22.257000,27.2,41.0,1013.0,False,43.7,130,2.5
74,0 days 01:14:22.239000,27.2,43.0,1013.0,False,42.6,133,2.0
75,0 days 01:15:22.237000,27.2,42.0,1012.9,False,43.0,130,3.0
77,0 days 01:17:22.235000,27.1,42.0,1013.0,False,42.8,79,1.3
79,0 days 01:19:22.249000,27.2,41.0,1013.0,False,43.1,85,1.2
80,0 days 01:20:22.232000,27.1,41.0,1012.9,False,43.0,9,1.7
82,0 days 01:22:22.246000,27.1,40.0,1012.9,False,43.5,155,1.5
84,0 days 01:24:22.275000,27.2,41.0,1012.7,False,43.3,145,1.6
85,0 days 01:25:22.289000,27.3,40.0,1012.9,False,43.3,324,0.8
87,0 days 01:27:22.287000,27.3,41.0,1012.9,False,43.4,35,1.2
89,0 days 01:29:22.301000,27.3,41.0,1012.9,False,43.2,135,0.8
91,0 days 01:31:22.299000,27.2,40.0,1012.7,False,43.0,87,1.6
92,0 days 01:32:22.297000,27.2,40.0,1012.9,False,43.1,308,1.1
94,0 days 01:34:22.311000,27.3,40.0,1012.9,False,43.0,141,0.8
96,0 days 01:36:22.293000,27.3,42.0,1012.9,False,42.8,128,1.0
97,0 days 01:37:22.308000,27.2,42.0,1012.9,False,42.6,82,1.2
99,0 days 01:39:22.306000,27.3,42.0,1012.9,False,42.3,3,1.7
101,0 days 01:41:22.335000,27.3,43.0,1013.0,False,42.7,76,1.3
102,0 days 01:42:22.349000,27.3,43.0,1013.0,False,40.8,20,1.7
104,0 days 01:44:22.363000,27.3,41.0,1012.9,False,40.5,100,1.8
106,0 days 01:46:22.376000,27.4,39.0,1012.9,False,40.2,326,1.8
107,0 days 01:47:22.391000,27.5,39.0,1013.0,False,39.6,22,1.1
109,0 days 01:49:22.389000,27.4,40.0,1013.0,False,39.2,187,0.5
110,0 days 01:50:22.388000,27.4,40.0,1012.9,False,39.1,131,0.8
112,0 days 01:52:22.417000,27.3,42.0,1012.9,False,38.7,161,1.0
114,0 days 01:54:22.383000,27.4,42.0,1012.9,False,38.2,114,1.7
115,0 days 01:55:22.398000,27.3,41.0,1013.0,False,38.4,113,1.7
