,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
62,0 days 01:02:50.107000,17.7,63.0,1002.2,False,28.0,98,3.4
115,0 days 01:55:50.312000,18.3,59.0,1002.5,False,31.2,271,0.6
118,0 days 01:58:50.312000,18.7,58.0,1002.5,False,32.7,155,1.1
120,0 days 02:00:50.310000,18.7,56.0,1002.4,False,33.1,43,0.6
122,0 days 02:02:50.311000,18.7,55.0,1002.5,False,33.5,303,0.6
123,0 days 02:03:50.310000,18.7,55.0,1002.5,False,33.5,122,2.0
125,0 days 02:05:50.322000,18.6,56.0,1002.5,False,33.3,344,1.1
127,0 days 02:07:50.314000,18.4,55.0,1002.5,False,33.5,29,0.4
128,0 days 02:08:50.312000,18.3,56.0,1002.5,False,32.9,34,1.5
130,0 days 02:10:50.313000,18.4,57.0,1002.5,False,32.2,118,0.8
132,0 days 02:12:50.312000,18.4,57.0,1002.4,False,31.9,29,1.6
133,0 days 02:13:50.324000,18.4,57.0,1002.4,False,32.1,251,1.8
135,0 days 02:15:50.312000,18.4,56.0,1002.5,False,32.1,255,1.5
136,0 days 02:16:50.324000,18.4,54.0,1002.5,False,32.1,95,0.6
138,0 days 02:18:50.330000,18.4,56.0,1002.5,False,31.6,104,1.8
139,0 days 02:19:50.330000,18.4,56.0,1002.5,False,32.0,239,1.7
141,0 days 02:21:50.327000,18.7,55.0,1002.5,False,32.3,140,2.0
143,0 days 02:23:50.375000,18.7,56.0,1002.5,False,31.9,244,0.8
144,0 days 02:24:50.376000,18.7,55.0,1002.4,False,31.8,258,1.3
146,0 days 02:26:50.404000,18.7,56.0,1002.4,False,31.6,151,1.0
147,0 days 02:27:50.411000,18.7,55.0,1002.5,False,31.5,184,1.0
149,0 days 02:29:50.406000,18.6,56.0,1002.4,False,31.3,85,2.0
150,0 days 02:30:50.406000,18.8,57.0,1002.5,False,31.2,52,1.2
152,0 days 02:32:50.415000,18.9,54.0,1002.4,False,31.4,299,1.6
153,0 days 02:33:50.410000,18.9,55.0,1002.4,False,32.0,0,1.1
155,0 days 02:35:50.422000,18.9,56.0,1002.5,False,32.3,0,1.6
157,0 days 02:37:50.445000,19.1,54.0,1002.4,False,33.9,0,0.8
158,0 days 02:38:50.439000,19.2,53.0,1002.4,False,34.1,242,0.8
160,0 days 02:40:50.441000,19.2,55.0,1002.5,False,32.9,249,1.8
161,0 days 02:41:50.439000,19.2,55.0,1002.4,False,32.8,74,1.6
163,0 days 02:43:50.439000,18.9,57.0,1002.4,False,32.3,71,1.0
164,0 days 02:44:50.439000,18.9,58.0,1002.4,False,32.5,209,1.6
166,0 days 02:46:50.442000,18.9,57.0,1002.5,False,32.1,111,1.5
167,0 days 02:47:50.450000,18.9,58.0,1002.5,False,31.6,254,1.7
169,0 days 02:49:50.454000,18.8,57.0,1002.5,False,31.4,218,1.8
170,0 days 02:50:50.455000,18.6,58.0,1002.5,False,31.1,229,1.7
172,0 days 02:52:50.447000,18.5,58.0,1002.4,False,30.7,70,0.8
174,0 days 02:54:50.446000,18.6,58.0,1002.5,False,30.2,170,0.8
175,0 days 02:55:50.439000,18.6,59.0,1002.5,False,30.1,43,0.8
177,0 days 02:57:50.442000,18.5,59.0,1002.5,False,30.3,100,1.0
179,0 days 02:59:50.453000,18.3,59.0,1002.5,False,30.1,151,0.0
182,0 days 03:02:50.454000,18.1,60.0,1002.5,False,29.8,98,1.7
185,0 days 03:05:50.470000,18.1,62.0,1002.5,False,29.5,0,2.0
186,0 days 03:06:50.474000,18.1,62.0,1002.5,False,29.7,105,0.8
188,0 days 03:08:50.477000,18.1,62.0,1002.5,False,29.4,95,1.5
189,0 days 03:09:50.486000,18.1,62.0,1002.5,False,29.4,100,2.7
191,0 days 03:11:50.501000,18.1,63.0,1002.5,False,29.1,155,1.2
192,0 days 03:12:50.531000,18.0,63.0,1002.7,False,28.9,196,1.2
194,0 days 03:14:50.532000,17.9,61.0,1002.5,False,28.5,97,1.3
195,0 days 03:15:50.531000,17.8,61.0,1002.5,False,28.5,142,1.7
197,0 days 03:17:50.534000,17.7,61.0,1002.7,False,28.3,0,1.7
