,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
99,0 days 01:39:25.607000,20.4,61.5,1015.6,False,33.9,165,0.3
100,0 days 01:40:25.623000,20.5,61.4,1015.7,False,33.9,212,0.4
101,0 days 01:41:25.638000,20.4,61.9,1015.7,False,33.6,172,0.3
103,0 days 01:43:25.653000,20.4,61.9,1015.7,False,33.7,179,0.4
104,0 days 01:44:25.669000,20.4,61.6,1015.6,False,33.8,183,0.5
105,0 days 01:45:25.676000,20.4,61.3,1015.7,False,33.8,164,0.4
106,0 days 01:46:25.668000,20.4,61.6,1015.8,False,33.6,172,0.5
108,0 days 01:48:25.669000,20.3,61.4,1015.8,False,33.0,199,0.4
109,0 days 01:49:25.669000,20.4,61.3,1015.8,False,33.0,0,0.4
110,0 days 01:50:25.694000,20.4,61.7,1015.9,False,33.4,182,0.4
112,0 days 01:52:25.669000,20.6,61.5,1015.8,False,34.1,165,0.3
113,0 days 01:53:25.671000,20.7,61.6,1015.7,False,34.4,184,0.4
114,0 days 01:54:25.677000,20.8,61.1,1015.8,False,34.8,173,0.3
115,0 days 01:55:25.669000,20.9,61.0,1015.7,False,34.8,171,0.3
117,0 days 01:57:25.672000,20.9,59.6,1015.8,False,34.0,188,0.4
118,0 days 01:58:25.671000,20.8,60.1,1015.7,False,34.0,167,0.3
119,0 days 01:59:25.680000,20.8,59.8,1015.7,False,34.2,181,0.5
120,0 days 02:00:25.675000,20.7,60.4,1015.8,False,33.7,175,0.4
122,0 days 02:02:25.667000,20.7,60.1,1015.8,False,34.2,160,0.3
123,0 days 02:03:25.668000,20.7,60.2,1015.8,False,34.3,161,0.4
124,0 days 02:04:25.669000,20.8,60.0,1015.8,False,34.0,162,0.4
125,0 days 02:05:25.673000,20.8,60.1,1015.7,False,34.0,167,0.5
127,0 days 02:07:25.670000,20.8,60.6,1015.7,False,33.6,190,0.5
128,0 days 02:08:25.671000,20.9,60.0,1015.9,False,33.6,161,0.3
129,0 days 02:09:25.670000,21.0,59.1,1015.9,False,33.9,176,0.3
131,0 days 02:11:25.671000,20.9,59.0,1015.8,False,34.0,170,0.5
132,0 days 02:12:25.670000,20.9,59.5,1015.9,False,34.4,157,0.6
33,0 days 00:33:25.360000,20.8,60.4,1015.6,False,43.4,311,0.3
35,0 days 00:35:25.392000,20.8,61.5,1015.6,False,42.9,0,0.1
36,0 days 00:36:25.424000,20.8,61.5,1015.5,False,42.9,0,0.4
37,0 days 00:37:25.425000,21.0,60.4,1015.5,False,42.7,151,0.3
39,0 days 00:39:25.421000,21.2,59.9,1015.5,False,42.7,35,0.5
40,0 days 00:40:25.422000,21.3,58.9,1015.4,False,42.7,287,0.2
41,0 days 00:41:25.420000,21.4,58.4,1015.5,False,42.7,158,0.3
43,0 days 00:43:25.437000,21.4,58.5,1015.5,False,42.6,218,0.5
44,0 days 00:44:25.438000,21.3,58.2,1015.5,False,42.0,243,0.3
45,0 days 00:45:25.452000,21.4,58.0,1015.6,False,42.2,168,0.4
47,0 days 00:47:25.467000,21.3,57.3,1015.6,False,42.0,294,0.4
48,0 days 00:48:25.469000,21.3,58.3,1015.5,False,42.0,184,0.5
49,0 days 00:49:25.468000,21.3,58.9,1015.6,False,41.3,150,0.4
50,0 days 00:50:25.472000,21.3,58.8,1015.6,False,41.1,173,0.4
52,0 days 00:52:25.470000,21.2,59.2,1015.7,False,40.8,306,0.4
53,0 days 00:53:25.481000,21.1,59.1,1015.6,False,40.0,191,0.4
54,0 days 00:54:25.471000,21.0,59.8,1015.7,False,39.6,171,0.4
56,0 days 00:56:25.467000,21.0,59.3,1015.7,False,39.9,170,0.4
57,0 days 00:57:25.486000,21.1,59.3,1015.5,False,40.4,131,0.4
58,0 days 00:58:25.501000,21.1,59.5,1015.7,False,40.4,166,0.3
60,0 days 01:00:25.518000,21.3,59.7,1015.7,False,40.0,166,0.4
61,0 days 01:01:25.522000,21.2,58.8,1015.8,False,40.5,165,0.4
62,0 days 01:02:25.522000,21.3,58.2,1015.8,False,40.0,142,0.3
64,0 days 01:04:25.545000,21.5,59.3,1015.8,False,40.0,199,0.3
65,0 days 01:05:25.547000,21.3,59.0,1015.8,False,39.6,183,0.3
66,0 days 01:06:25.543000,21.0,59.5,1015.9,False,39.4,185,0.4
67,0 days 01:07:25.544000,21.0,60.0,1015.8,False,38.0,154,0.4
69,0 days 01:09:25.545000,21.0,60.6,1015.7,False,37.3,173,0.4
70,0 days 01:10:25.544000,20.8,60.7,1015.7,False,36.7,173,0.3
71,0 days 01:11:25.545000,20.6,60.5,1015.7,False,36.3,170,0.3
73,0 days 01:13:25.544000,20.6,61.7,1015.7,False,35.5,183,0.3
74,0 days 01:14:25.554000,20.4,62.8,1015.5,False,35.4,109,0.3
75,0 days 01:15:25.545000,20.3,63.3,1015.8,False,35.3,184,0.3
77,0 days 01:17:25.547000,20.4,63.0,1015.7,False,35.0,160,0.4
78,0 days 01:18:25.546000,20.4,62.5,1015.7,False,35.0,189,0.3
79,0 days 01:19:25.545000,20.5,62.9,1015.6,False,35.0,173,0.3
80,0 days 01:20:25.545000,20.4,63.0,1015.6,False,34.5,199,0.3
82,0 days 01:22:25.546000,20.3,64.2,1015.5,False,34.3,162,0.4
83,0 days 01:23:25.544000,20.3,63.7,1015.4,False,34.3,160,0.3
84,0 days 01:24:25.575000,20.4,63.5,1015.5,False,34.5,188,0.5
86,0 days 01:26:25.545000,20.4,63.0,1015.5,False,34.7,161,0.5
87,0 days 01:27:25.545000,20.4,62.9,1015.3,False,34.5,170,0.5
88,0 days 01:28:25.547000,20.5,62.1,1015.5,False,34.5,167,0.5
90,0 days 01:30:25.564000,20.4,62.9,1015.5,False,34.3,178,0.5
91,0 days 01:31:25.559000,20.6,61.6,1015.5,False,34.3,172,0.3
92,0 days 01:32:25.581000,20.6,61.9,1015.6,False,34.6,195,0.4
93,0 days 01:33:25.592000,20.5,61.9,1015.5,False,34.3,177,0.3
95,0 days 01:35:25.592000,20.4,62.7,1015.6,False,34.2,206,0.4
96,0 days 01:36:25.591000,20.4,62.5,1015.6,False,34.1,156,0.3
97,0 days 01:37:25.593000,20.4,61.7,1015.5,False,33.9,161,0.5
99,0 days 01:39:25.607000,20.4,61.5,1015.6,False,33.9,165,0.3
100,0 days 01:40:25.623000,20.5,61.4,1015.7,False,33.9,212,0.4
101,0 days 01:41:25.638000,20.4,61.9,1015.7,False,33.6,172,0.3
102,0 days 01:42:25.638000,20.4,62.0,1015.7,False,33.6,129,0.4
104,0 days 01:44:25.669000,20.4,61.6,1015.6,False,33.8,183,0.5
105,0 days 01:45:25.676000,20.4,61.3,1015.7,False,33.8,164,0.4
106,0 days 01:46:25.668000,20.4,61.6,1015.8,False,33.6,172,0.5
107,0 days 01:47:25.669000,20.4,61.5,1015.9,False,33.4,168,0.2
109,0 days 01:49:25.669000,20.4,61.3,1015.8,False,33.0,0,0.4
110,0 days 01:50:25.694000,20.4,61.7,1015.9,False,33.4,182,0.4
111,0 days 01:51:25.671000,20.5,62.3,1015.8,False,33.8,238,0.4
113,0 days 01:53:25.671000,20.7,61.6,1015.7,False,34.4,184,0.4
114,0 days 01:54:25.677000,20.8,61.1,1015.8,False,34.8,173,0.3
115,0 days 01:55:25.669000,20.9,61.0,1015.7,False,34.8,171,0.3
117,0 days 01:57:25.672000,20.9,59.6,1015.8,False,34.0,188,0.4
118,0 days 01:58:25.671000,20.8,60.1,1015.7,False,34.0,167,0.3
119,0 days 01:59:25.680000,20.8,59.8,1015.7,False,34.2,181,0.5
120,0 days 02:00:25.675000,20.7,60.4,1015.8,False,33.7,175,0.4
122,0 days 02:02:25.667000,20.7,60.1,1015.8,False,34.2,160,0.3
123,0 days 02:03:25.668000,20.7,60.2,1015.8,False,34.3,161,0.4
124,0 days 02:04:25.669000,20.8,60.0,1015.8,False,34.0,162,0.4
125,0 days 02:05:25.673000,20.8,60.1,1015.7,False,34.0,167,0.5
127,0 days 02:07:25.670000,20.8,60.6,1015.7,False,33.6,190,0.5
128,0 days 02:08:25.671000,20.9,60.0,1015.9,False,33.6,161,0.3
129,0 days 02:09:25.670000,21.0,59.1,1015.9,False,33.9,176,0.3
131,0 days 02:11:25.671000,20.9,59.0,1015.8,False,34.0,170,0.5
132,0 days 02:12:25.670000,20.9,59.5,1015.9,False,34.4,157,0.6
33,0 days 00:33:25.360000,20.8,60.4,1015.6,False,43.4,311,0.3
35,0 days 00:35:25.392000,20.8,61.5,1015.6,False,42.9,0,0.1
36,0 days 00:36:25.424000,20.8,61.5,1015.5,False,42.9,0,0.4
37,0 days 00:37:25.425000,21.0,60.4,1015.5,False,42.7,151,0.3
39,0 days 00:39:25.421000,21.2,59.9,1015.5,False,42.7,35,0.5
40,0 days 00:40:25.422000,21.3,58.9,1015.4,False,42.7,287,0.2
41,0 days 00:41:25.420000,21.4,58.4,1015.5,False,42.7,158,0.3
43,0 days 00:43:25.437000,21.4,58.5,1015.5,False,42.6,218,0.5
44,0 days 00:44:25.438000,21.3,58.2,1015.5,False,42.0,243,0.3
45,0 days 00:45:25.452000,21.4,58.0,1015.6,False,42.2,168,0.4
47,0 days 00:47:25.467000,21.3,57.3,1015.6,False,42.0,294,0.4
48,0 days 00:48:25.469000,21.3,58.3,1015.5,False,42.0,184,0.5
49,0 days 00:49:25.468000,21.3,58.9,1015.6,False,41.3,150,0.4
51,0 days 00:51:25.472000,21.2,58.6,1015.8,False,40.8,190,0.5
52,0 days 00:52:25.470000,21.2,59.2,1015.7,False,40.8,306,0.4
53,0 days 00:53:25.481000,21.1,59.1,1015.6,False,40.0,191,0.4
55,0 days 00:55:25.468000,21.0,59.0,1015.6,False,39.6,171,0.3
56,0 days 00:56:25.467000,21.0,59.3,1015.7,False,39.9,170,0.4
57,0 days 00:57:25.486000,21.1,59.3,1015.5,False,40.4,131,0.4
58,0 days 00:58:25.501000,21.1,59.5,1015.7,False,40.4,166,0.3
60,0 days 01:00:25.518000,21.3,59.7,1015.7,False,40.0,166,0.4
61,0 days 01:01:25.522000,21.2,58.8,1015.8,False,40.5,165,0.4
62,0 days 01:02:25.522000,21.3,58.2,1015.8,False,40.0,142,0.3
64,0 days 01:04:25.545000,21.5,59.3,1015.8,False,40.0,199,0.3
65,0 days 01:05:25.547000,21.3,59.0,1015.8,False,39.6,183,0.3
67,0 days 01:07:25.544000,21.0,60.0,1015.8,False,38.0,154,0.4
68,0 days 01:08:25.545000,20.9,60.0,1015.8,False,37.8,217,0.5
69,0 days 01:09:25.545000,21.0,60.6,1015.7,False,37.3,173,0.4
71,0 days 01:11:25.545000,20.6,60.5,1015.7,False,36.3,170,0.3
72,0 days 01:12:25.547000,20.7,61.4,1015.7,False,35.9,289,0.3
73,0 days 01:13:25.544000,20.6,61.7,1015.7,False,35.5,183,0.3
75,0 days 01:15:25.545000,20.3,63.3,1015.8,False,35.3,184,0.3
76,0 days 01:16:25.546000,20.4,63.5,1015.8,False,35.3,203,0.2
77,0 days 01:17:25.547000,20.4,63.0,1015.7,False,35.0,160,0.4
79,0 days 01:19:25.545000,20.5,62.9,1015.6,False,35.0,173,0.3
80,0 days 01:20:25.545000,20.4,63.0,1015.6,False,34.5,199,0.3
82,0 days 01:22:25.546000,20.3,64.2,1015.5,False,34.3,162,0.4
83,0 days 01:23:25.544000,20.3,63.7,1015.4,False,34.3,160,0.3
84,0 days 01:24:25.575000,20.4,63.5,1015.5,False,34.5,188,0.5
86,0 days 01:26:25.545000,20.4,63.0,1015.5,False,34.7,161,0.5
87,0 days 01:27:25.545000,20.4,62.9,1015.3,False,34.5,170,0.5
88,0 days 01:28:25.547000,20.5,62.1,1015.5,False,34.5,167,0.5
90,0 days 01:30:25.564000,20.4,62.9,1015.5,False,34.3,178,0.5
91,0 days 01:31:25.559000,20.6,61.6,1015.5,False,34.3,172,0.3
92,0 days 01:32:25.581000,20.6,61.9,1015.6,False,34.6,195,0.4
94,0 days 01:34:25.592000,20.4,63.2,1015.6,False,34.3,271,0.3
95,0 days 01:35:25.592000,20.4,62.7,1015.6,False,34.2,206,0.4
96,0 days 01:36:25.591000,20.4,62.5,1015.6,False,34.1,156,0.3
98,0 days 01:38:25.606000,20.4,61.3,1015.5,False,33.8,205,0.4
99,0 days 01:39:25.607000,20.4,61.5,1015.6,False,33.9,165,0.3
100,0 days 01:40:25.623000,20.5,61.4,1015.7,False,33.9,212,0.4
101,0 days 01:41:25.638000,20.4,61.9,1015.7,False,33.6,172,0.3
103,0 days 01:43:25.653000,20.4,61.9,1015.7,False,33.7,179,0.4
104,0 days 01:44:25.669000,20.4,61.6,1015.6,False,33.8,183,0.5
105,0 days 01:45:25.676000,20.4,61.3,1015.7,False,33.8,164,0.4
107,0 days 01:47:25.669000,20.4,61.5,1015.9,False,33.4,168,0.2
108,0 days 01:48:25.669000,20.3,61.4,1015.8,False,33.0,199,0.4
109,0 days 01:49:25.669000,20.4,61.3,1015.8,False,33.0,0,0.4
111,0 days 01:51:25.671000,20.5,62.3,1015.8,False,33.8,238,0.4
112,0 days 01:52:25.669000,20.6,61.5,1015.8,False,34.1,165,0.3
113,0 days 01:53:25.671000,20.7,61.6,1015.7,False,34.4,184,0.4
114,0 days 01:54:25.677000,20.8,61.1,1015.8,False,34.8,173,0.3
116,0 days 01:56:25.686000,20.9,60.7,1015.6,False,34.0,270,0.3
117,0 days 01:57:25.672000,20.9,59.6,1015.8,False,34.0,188,0.4
118,0 days 01:58:25.671000,20.8,60.1,1015.7,False,34.0,167,0.3
120,0 days 02:00:25.675000,20.7,60.4,1015.8,False,33.7,175,0.4
121,0 days 02:01:25.670000,20.7,59.6,1015.7,False,34.2,201,0.2
122,0 days 02:02:25.667000,20.7,60.1,1015.8,False,34.2,160,0.3
124,0 days 02:04:25.669000,20.8,60.0,1015.8,False,34.0,162,0.4
125,0 days 02:05:25.673000,20.8,60.1,1015.7,False,34.0,167,0.5
126,0 days 02:06:25.670000,20.8,60.1,1015.8,False,33.8,162,0.3
127,0 days 02:07:25.670000,20.8,60.6,1015.7,False,33.6,190,0.5
129,0 days 02:09:25.670000,21.0,59.1,1015.9,False,33.9,176,0.3
130,0 days 02:10:25.668000,20.9,58.9,1015.8,False,33.4,161,0.4
131,0 days 02:11:25.671000,20.9,59.0,1015.8,False,34.0,170,0.5
33,0 days 00:33:25.360000,20.8,60.4,1015.6,False,43.4,311,0.3
35,0 days 00:35:25.392000,20.8,61.5,1015.6,False,42.9,0,0.1
36,0 days 00:36:25.424000,20.8,61.5,1015.5,False,42.9,0,0.4
37,0 days 00:37:25.425000,21.0,60.4,1015.5,False,42.7,151,0.3
39,0 days 00:39:25.421000,21.2,59.9,1015.5,False,42.7,35,0.5
40,0 days 00:40:25.422000,21.3,58.9,1015.4,False,42.7,287,0.2
41,0 days 00:41:25.420000,21.4,58.4,1015.5,False,42.7,158,0.3
43,0 days 00:43:25.437000,21.4,58.5,1015.5,False,42.6,218,0.5
44,0 days 00:44:25.438000,21.3,58.2,1015.5,False,42.0,243,0.3
45,0 days 00:45:25.452000,21.4,58.0,1015.6,False,42.2,168,0.4
47,0 days 00:47:25.467000,21.3,57.3,1015.6,False,42.0,294,0.4
48,0 days 00:48:25.469000,21.3,58.3,1015.5,False,42.0,184,0.5
49,0 days 00:49:25.468000,21.3,58.9,1015.6,False,41.3,150,0.4
51,0 days 00:51:25.472000,21.2,58.6,1015.8,False,40.8,190,0.5
52,0 days 00:52:25.470000,21.2,59.2,1015.7,False,40.8,306,0.4
53,0 days 00:53:25.481000,21.1,59.1,1015.6,False,40.0,191,0.4
54,0 days 00:54:25.471000,21.0,59.8,1015.7,False,39.6,171,0.4
56,0 days 00:56:25.467000,21.0,59.3,1015.7,False,39.9,170,0.4
57,0 days 00:57:25.486000,21.1,59.3,1015.5,False,40.4,131,0.4
58,0 days 00:58:25.501000,21.1,59.5,1015.7,False,40.4,166,0.3
60,0 days 01:00:25.518000,21.3,59.7,1015.7,False,40.0,166,0.4
61,0 days 01:01:25.522000,21.2,58.8,1015.8,False,40.5,165,0.4
62,0 days 01:02:25.522000,21.3,58.2,1015.8,False,40.0,142,0.3
64,0 days 01:04:25.545000,21.5,59.3,1015.8,False,40.0,199,0.3
65,0 days 01:05:25.547000,21.3,59.0,1015.8,False,39.6,183,0.3
66,0 days 01:06:25.543000,21.0,59.5,1015.9,False,39.4,185,0.4
68,0 days 01:08:25.545000,20.9,60.0,1015.8,False,37.8,217,0.5
69,0 days 01:09:25.545000,21.0,60.6,1015.7,False,37.3,173,0.4
71,0 days 01:11:25.545000,20.6,60.5,1015.7,False,36.3,170,0.3
72,0 days 01:12:25.547000,20.7,61.4,1015.7,False,35.9,289,0.3
74,0 days 01:14:25.554000,20.4,62.8,1015.5,False,35.4,109,0.3
75,0 days 01:15:25.545000,20.3,63.3,1015.8,False,35.3,184,0.3
76,0 days 01:16:25.546000,20.4,63.5,1015.8,False,35.3,203,0.2
78,0 days 01:18:25.546000,20.4,62.5,1015.7,False,35.0,189,0.3
79,0 days 01:19:25.545000,20.5,62.9,1015.6,False,35.0,173,0.3
80,0 days 01:20:25.545000,20.4,63.0,1015.6,False,34.5,199,0.3
82,0 days 01:22:25.546000,20.3,64.2,1015.5,False,34.3,162,0.4
83,0 days 01:23:25.544000,20.3,63.7,1015.4,False,34.3,160,0.3
85,0 days 01:25:25.547000,20.4,63.4,1015.5,False,34.8,173,0.5
86,0 days 01:26:25.545000,20.4,63.0,1015.5,False,34.7,161,0.5
87,0 days 01:27:25.545000,20.4,62.9,1015.3,False,34.5,170,0.5
89,0 days 01:29:25.547000,20.4,62.1,1015.4,False,34.4,316,0.4
90,0 days 01:30:25.564000,20.4,62.9,1015.5,False,34.3,178,0.5
91,0 days 01:31:25.559000,20.6,61.6,1015.5,False,34.3,172,0.3
93,0 days 01:33:25.592000,20.5,61.9,1015.5,False,34.3,177,0.3
94,0 days 01:34:25.592000,20.4,63.2,1015.6,False,34.3,271,0.3
95,0 days 01:35:25.592000,20.4,62.7,1015.6,False,34.2,206,0.4
96,0 days 01:36:25.591000,20.4,62.5,1015.6,False,34.1,156,0.3
98,0 days 01:38:25.606000,20.4,61.3,1015.5,False,33.8,205,0.4
99,0 days 01:39:25.607000,20.4,61.5,1015.6,False,33.9,165,0.3
100,0 days 01:40:25.623000,20.5,61.4,1015.7,False,33.9,212,0.4
102,0 days 01:42:25.638000,20.4,62.0,1015.7,False,33.6,129,0.4
103,0 days 01:43:25.653000,20.4,61.9,1015.7,False,33.7,179,0.4
104,0 days 01:44:25.669000,20.4,61.6,1015.6,False,33.8,183,0.5
105,0 days 01:45:25.676000,20.4,61.3,1015.7,False,33.8,164,0.4
107,0 days 01:47:25.669000,20.4,61.5,1015.9,False,33.4,168,0.2
108,0 days 01:48:25.669000,20.3,61.4,1015.8,False,33.0,199,0.4
109,0 days 01:49:25.669000,20.4,61.3,1015.8,False,33.0,0,0.4
111,0 days 01:51:25.671000,20.5,62.3,1015.8,False,33.8,238,0.4
112,0 days 01:52:25.669000,20.6,61.5,1015.8,False,34.1,165,0.3
113,0 days 01:53:25.671000,20.7,61.6,1015.7,False,34.4,184,0.4
115,0 days 01:55:25.669000,20.9,61.0,1015.7,False,34.8,171,0.3
116,0 days 01:56:25.686000,20.9,60.7,1015.6,False,34.0,270,0.3
117,0 days 01:57:25.672000,20.9,59.6,1015.8,False,34.0,188,0.4
118,0 days 01:58:25.671000,20.8,60.1,1015.7,False,34.0,167,0.3
120,0 days 02:00:25.675000,20.7,60.4,1015.8,False,33.7,175,0.4
121,0 days 02:01:25.670000,20.7,59.6,1015.7,False,34.2,201,0.2
122,0 days 02:02:25.667000,20.7,60.1,1015.8,False,34.2,160,0.3
124,0 days 02:04:25.669000,20.8,60.0,1015.8,False,34.0,162,0.4
125,0 days 02:05:25.673000,20.8,60.1,1015.7,False,34.0,167,0.5
126,0 days 02:06:25.670000,20.8,60.1,1015.8,False,33.8,162,0.3
127,0 days 02:07:25.670000,20.8,60.6,1015.7,False,33.6,190,0.5
129,0 days 02:09:25.670000,21.0,59.1,1015.9,False,33.9,176,0.3
130,0 days 02:10:25.668000,20.9,58.9,1015.8,False,33.4,161,0.4
131,0 days 02:11:25.671000,20.9,59.0,1015.8,False,34.0,170,0.5
33,0 days 00:33:25.360000,20.8,60.4,1015.6,False,43.4,311,0.3
34,0 days 00:34:25.374000,20.8,61.8,1015.5,False,43.4,329,0.2
36,0 days 00:36:25.424000,20.8,61.5,1015.5,False,42.9,0,0.4
37,0 days 00:37:25.425000,21.0,60.4,1015.5,False,42.7,151,0.3
38,0 days 00:38:25.421000,21.2,60.2,1015.5,False,42.7,284,0.3
40,0 days 00:40:25.422000,21.3,58.9,1015.4,False,42.7,287,0.2
41,0 days 00:41:25.420000,21.4,58.4,1015.5,False,42.7,158,0.3
42,0 days 00:42:25.419000,21.4,57.9,1015.5,False,42.7,187,0.4
43,0 days 00:43:25.437000,21.4,58.5,1015.5,False,42.6,218,0.5
45,0 days 00:45:25.452000,21.4,58.0,1015.6,False,42.2,168,0.4
46,0 days 00:46:25.454000,21.3,57.2,1015.6,False,42.2,173,0.3
