,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
94,0 days 01:34:45.299000,15.9,93.3,1006.3,False,18.2,110,0.5
95,0 days 01:35:45.297000,15.9,93.3,1006.4,False,18.3,119,0.5
97,0 days 01:37:45.326000,15.9,93.5,1006.2,False,18.4,142,0.4
98,0 days 01:38:45.329000,15.9,93.3,1006.2,False,18.3,158,0.5
100,0 days 01:40:45.320000,15.9,93.1,1006.3,False,18.3,108,0.5
101,0 days 01:41:45.331000,15.9,93.1,1006.3,False,18.3,81,0.5
103,0 days 01:43:45.329000,15.9,92.6,1006.3,False,18.1,123,0.5
104,0 days 01:44:45.328000,15.9,92.9,1006.4,False,18.1,114,0.5
106,0 days 01:46:45.331000,16.0,92.8,1006.3,False,18.1,124,0.6
108,0 days 01:48:45.347000,16.0,92.8,1006.2,False,18.1,162,0.4
109,0 days 01:49:45.360000,16.0,92.8,1006.4,False,18.0,68,0.4
111,0 days 01:51:45.360000,15.9,93.1,1006.4,False,18.0,166,0.4
112,0 days 01:52:45.375000,15.9,92.8,1006.4,False,17.8,146,0.3
114,0 days 01:54:45.410000,16.0,92.8,1006.4,False,17.8,188,0.3
115,0 days 01:55:45.407000,16.0,93.2,1006.4,False,17.7,121,0.3
117,0 days 01:57:45.432000,15.9,93.2,1006.5,False,17.8,190,0.2
119,0 days 01:59:45.455000,15.9,93.0,1006.4,False,17.8,195,0.3
120,0 days 02:00:45.458000,15.9,92.9,1006.4,False,17.8,58,0.3
122,0 days 02:02:45.453000,15.9,92.8,1006.4,False,17.8,138,0.3
124,0 days 02:04:45.453000,15.9,93.0,1006.5,False,17.9,155,0.4
125,0 days 02:05:45.455000,16.0,93.1,1006.4,False,17.9,84,0.2
127,0 days 02:07:45.470000,15.9,93.3,1006.3,False,18.0,106,0.4
128,0 days 02:08:45.491000,15.9,92.6,1006.3,False,18.0,87,0.7
130,0 days 02:10:45.502000,15.9,93.2,1006.3,False,17.8,173,0.4
132,0 days 02:12:45.512000,16.0,93.1,1006.3,False,18.0,119,0.3
133,0 days 02:13:45.536000,15.9,93.1,1006.3,False,18.1,151,0.5
135,0 days 02:15:45.547000,16.0,92.6,1006.3,False,18.1,133,0.4
136,0 days 02:16:45.546000,15.9,92.8,1006.3,False,18.1,120,0.4
138,0 days 02:18:45.594000,15.9,92.8,1006.2,False,17.9,124,0.5
139,0 days 02:19:45.585000,15.9,92.5,1006.3,False,17.9,97,0.5
141,0 days 02:21:45.607000,15.9,92.4,1006.3,False,18.1,112,0.4
143,0 days 02:23:45.580000,16.0,92.1,1006.3,False,18.1,120,0.6
144,0 days 02:24:45.579000,16.0,92.0,1006.3,False,18.1,88,0.6
146,0 days 02:26:45.580000,16.0,92.2,1006.3,False,18.2,160,0.5
147,0 days 02:27:45.569000,16.0,92.4,1006.3,False,18.0,211,0.3
149,0 days 02:29:45.576000,16.1,91.9,1006.3,False,17.9,127,0.6
150,0 days 02:30:45.626000,16.0,92.1,1006.3,False,17.9,97,0.5
152,0 days 02:32:45.610000,16.0,92.1,1006.3,False,18.1,83,0.4
62,0 days 01:02:45.202000,15.8,93.8,1006.3,False,18.4,79,0.7
64,0 days 01:04:45.203000,15.8,94.4,1006.4,False,18.3,96,0.5
65,0 days 01:05:45.202000,15.8,93.7,1006.6,False,18.3,79,0.6
67,0 days 01:07:45.203000,15.8,93.7,1006.4,False,18.4,159,0.7
69,0 days 01:09:45.203000,15.8,94.3,1006.5,False,18.6,114,0.6
70,0 days 01:10:45.212000,15.8,93.9,1006.4,False,18.6,235,0.5
72,0 days 01:12:45.218000,15.8,94.4,1006.4,False,18.5,170,0.3
73,0 days 01:13:45.213000,15.8,94.4,1006.4,False,18.5,76,0.4
75,0 days 01:15:45.219000,15.8,94.1,1006.5,False,18.5,94,0.5
76,0 days 01:16:45.237000,15.9,94.6,1006.5,False,18.5,102,0.5
78,0 days 01:18:45.250000,15.9,93.9,1006.5,False,18.4,212,0.5
80,0 days 01:20:45.255000,15.9,93.8,1006.4,False,18.4,143,0.5
81,0 days 01:21:45.238000,15.9,94.4,1006.5,False,18.4,129,0.3
83,0 days 01:23:45.254000,15.9,93.6,1006.4,False,18.4,107,0.5
84,0 days 01:24:45.250000,15.9,94.3,1006.4,False,18.5,55,0.4
86,0 days 01:26:45.259000,15.9,93.7,1006.4,False,18.5,97,0.6
87,0 days 01:27:45.239000,15.9,93.8,1006.5,False,18.4,97,0.4
89,0 days 01:29:45.253000,15.8,93.8,1006.4,False,18.2,100,0.3
91,0 days 01:31:45.259000,15.9,93.6,1006.4,False,18.4,143,0.3
92,0 days 01:32:45.282000,15.9,93.6,1006.3,False,18.4,125,0.3
94,0 days 01:34:45.299000,15.9,93.3,1006.3,False,18.2,110,0.5
95,0 days 01:35:45.297000,15.9,93.3,1006.4,False,18.3,119,0.5
97,0 days 01:37:45.326000,15.9,93.5,1006.2,False,18.4,142,0.4
98,0 days 01:38:45.329000,15.9,93.3,1006.2,False,18.3,158,0.5
100,0 days 01:40:45.320000,15.9,93.1,1006.3,False,18.3,108,0.5
102,0 days 01:42:45.330000,15.9,92.8,1006.3,False,18.3,99,0.6
103,0 days 01:43:45.329000,15.9,92.6,1006.3,False,18.1,123,0.5
105,0 days 01:45:45.331000,15.9,92.9,1006.3,False,18.1,78,0.5
106,0 days 01:46:45.331000,16.0,92.8,1006.3,False,18.1,124,0.6
108,0 days 01:48:45.347000,16.0,92.8,1006.2,False,18.1,162,0.4
109,0 days 01:49:45.360000,16.0,92.8,1006.4,False,18.0,68,0.4
111,0 days 01:51:45.360000,15.9,93.1,1006.4,False,18.0,166,0.4
113,0 days 01:53:45.392000,16.0,92.7,1006.4,False,17.8,147,0.4
114,0 days 01:54:45.410000,16.0,92.8,1006.4,False,17.8,188,0.3
116,0 days 01:56:45.429000,16.0,92.9,1006.5,False,17.8,146,0.5
117,0 days 01:57:45.432000,15.9,93.2,1006.5,False,17.8,190,0.2
119,0 days 01:59:45.455000,15.9,93.0,1006.4,False,17.8,195,0.3
121,0 days 02:01:45.456000,15.9,92.8,1006.4,False,17.8,143,0.3
122,0 days 02:02:45.453000,15.9,92.8,1006.4,False,17.8,138,0.3
124,0 days 02:04:45.453000,15.9,93.0,1006.5,False,17.9,155,0.4
126,0 days 02:06:45.455000,15.9,93.0,1006.3,False,18.0,116,0.2
127,0 days 02:07:45.470000,15.9,93.3,1006.3,False,18.0,106,0.4
129,0 days 02:09:45.486000,15.9,93.1,1006.3,False,18.1,108,0.5
130,0 days 02:10:45.502000,15.9,93.2,1006.3,False,17.8,173,0.4
132,0 days 02:12:45.512000,16.0,93.1,1006.3,False,18.0,119,0.3
133,0 days 02:13:45.536000,15.9,93.1,1006.3,False,18.1,151,0.5
135,0 days 02:15:45.547000,16.0,92.6,1006.3,False,18.1,133,0.4
137,0 days 02:17:45.547000,15.9,92.4,1006.3,False,17.9,91,0.6
138,0 days 02:18:45.594000,15.9,92.8,1006.2,False,17.9,124,0.5
140,0 days 02:20:45.581000,15.9,92.5,1006.3,False,18.1,101,0.4
141,0 days 02:21:45.607000,15.9,92.4,1006.3,False,18.1,112,0.4
143,0 days 02:23:45.580000,16.0,92.1,1006.3,False,18.1,120,0.6
144,0 days 02:24:45.579000,16.0,92.0,1006.3,False,18.1,88,0.6
146,0 days 02:26:45.580000,16.0,92.2,1006.3,False,18.2,160,0.5
147,0 days 02:27:45.569000,16.0,92.4,1006.3,False,18.0,211,0.3
149,0 days 02:29:45.576000,16.1,91.9,1006.3,False,17.9,127,0.6
151,0 days 02:31:45.594000,16.0,92.0,1006.3,False,17.8,117,0.5
152,0 days 02:32:45.610000,16.0,92.1,1006.3,False,18.1,83,0.4
62,0 days 01:02:45.202000,15.8,93.8,1006.3,False,18.4,79,0.7
64,0 days 01:04:45.203000,15.8,94.4,1006.4,False,18.3,96,0.5
65,0 days 01:05:45.202000,15.8,93.7,1006.6,False,18.3,79,0.6
67,0 days 01:07:45.203000,15.8,93.7,1006.4,False,18.4,159,0.7
68,0 days 01:08:45.213000,15.8,94.5,1006.4,False,18.5,98,0.3
70,0 days 01:10:45.212000,15.8,93.9,1006.4,False,18.6,235,0.5
72,0 days 01:12:45.218000,15.8,94.4,1006.4,False,18.5,170,0.3
73,0 days 01:13:45.213000,15.8,94.4,1006.4,False,18.5,76,0.4
75,0 days 01:15:45.219000,15.8,94.1,1006.5,False,18.5,94,0.5
76,0 days 01:16:45.237000,15.9,94.6,1006.5,False,18.5,102,0.5
78,0 days 01:18:45.250000,15.9,93.9,1006.5,False,18.4,212,0.5
80,0 days 01:20:45.255000,15.9,93.8,1006.4,False,18.4,143,0.5
81,0 days 01:21:45.238000,15.9,94.4,1006.5,False,18.4,129,0.3
83,0 days 01:23:45.254000,15.9,93.6,1006.4,False,18.4,107,0.5
84,0 days 01:24:45.250000,15.9,94.3,1006.4,False,18.5,55,0.4
86,0 days 01:26:45.259000,15.9,93.7,1006.4,False,18.5,97,0.6
87,0 days 01:27:45.239000,15.9,93.8,1006.5,False,18.4,97,0.4
89,0 days 01:29:45.253000,15.8,93.8,1006.4,False,18.2,100,0.3
90,0 days 01:30:45.264000,15.9,93.5,1006.3,False,18.2,152,0.4
92,0 days 01:32:45.282000,15.9,93.6,1006.3,False,18.4,125,0.3
94,0 days 01:34:45.299000,15.9,93.3,1006.3,False,18.2,110,0.5
95,0 days 01:35:45.297000,15.9,93.3,1006.4,False,18.3,119,0.5
97,0 days 01:37:45.326000,15.9,93.5,1006.2,False,18.4,142,0.4
98,0 days 01:38:45.329000,15.9,93.3,1006.2,False,18.3,158,0.5
100,0 days 01:40:45.320000,15.9,93.1,1006.3,False,18.3,108,0.5
101,0 days 01:41:45.331000,15.9,93.1,1006.3,False,18.3,81,0.5
103,0 days 01:43:45.329000,15.9,92.6,1006.3,False,18.1,123,0.5
105,0 days 01:45:45.331000,15.9,92.9,1006.3,False,18.1,78,0.5
106,0 days 01:46:45.331000,16.0,92.8,1006.3,False,18.1,124,0.6
108,0 days 01:48:45.347000,16.0,92.8,1006.2,False,18.1,162,0.4
109,0 days 01:49:45.360000,16.0,92.8,1006.4,False,18.0,68,0.4
111,0 days 01:51:45.360000,15.9,93.1,1006.4,False,18.0,166,0.4
112,0 days 01:52:45.375000,15.9,92.8,1006.4,False,17.8,146,0.3
114,0 days 01:54:45.410000,16.0,92.8,1006.4,False,17.8,188,0.3
115,0 days 01:55:45.407000,16.0,93.2,1006.4,False,17.7,121,0.3
117,0 days 01:57:45.432000,15.9,93.2,1006.5,False,17.8,190,0.2
119,0 days 01:59:45.455000,15.9,93.0,1006.4,False,17.8,195,0.3
120,0 days 02:00:45.458000,15.9,92.9,1006.4,False,17.8,58,0.3
122,0 days 02:02:45.453000,15.9,92.8,1006.4,False,17.8,138,0.3
123,0 days 02:03:45.454000,15.9,93.1,1006.3,False,17.8,136,0.3
125,0 days 02:05:45.455000,16.0,93.1,1006.4,False,17.9,84,0.2
127,0 days 02:07:45.470000,15.9,93.3,1006.3,False,18.0,106,0.4
128,0 days 02:08:45.491000,15.9,92.6,1006.3,False,18.0,87,0.7
130,0 days 02:10:45.502000,15.9,93.2,1006.3,False,17.8,173,0.4
131,0 days 02:11:45.500000,15.9,93.2,1006.3,False,17.8,173,0.4
133,0 days 02:13:45.536000,15.9,93.1,1006.3,False,18.1,151,0.5
135,0 days 02:15:45.547000,16.0,92.6,1006.3,False,18.1,133,0.4
136,0 days 02:16:45.546000,15.9,92.8,1006.3,False,18.1,120,0.4
138,0 days 02:18:45.594000,15.9,92.8,1006.2,False,17.9,124,0.5
140,0 days 02:20:45.581000,15.9,92.5,1006.3,False,18.1,101,0.4
141,0 days 02:21:45.607000,15.9,92.4,1006.3,False,18.1,112,0.4
143,0 days 02:23:45.580000,16.0,92.1,1006.3,False,18.1,120,0.6
144,0 days 02:24:45.579000,16.0,92.0,1006.3,False,18.1,88,0.6
146,0 days 02:26:45.580000,16.0,92.2,1006.3,False,18.2,160,0.5
148,0 days 02:28:45.568000,16.1,92.4,1006.4,False,18.0,87,0.3
149,0 days 02:29:45.576000,16.1,91.9,1006.3,False,17.9,127,0.6
151,0 days 02:31:45.594000,16.0,92.0,1006.3,False,17.8,117,0.5
152,0 days 02:32:45.610000,16.0,92.1,1006.3,False,18.1,83,0.4
62,0 days 01:02:45.202000,15.8,93.8,1006.3,False,18.4,79,0.7
64,0 days 01:04:45.203000,15.8,94.4,1006.4,False,18.3,96,0.5
65,0 days 01:05:45.202000,15.8,93.7,1006.6,False,18.3,79,0.6
67,0 days 01:07:45.203000,15.8,93.7,1006.4,False,18.4,159,0.7
69,0 days 01:09:45.203000,15.8,94.3,1006.5,False,18.6,114,0.6
70,0 days 01:10:45.212000,15.8,93.9,1006.4,False,18.6,235,0.5
72,0 days 01:12:45.218000,15.8,94.4,1006.4,False,18.5,170,0.3
73,0 days 01:13:45.213000,15.8,94.4,1006.4,False,18.5,76,0.4
75,0 days 01:15:45.219000,15.8,94.1,1006.5,False,18.5,94,0.5
77,0 days 01:17:45.237000,15.9,94.5,1006.5,False,18.4,109,0.6
78,0 days 01:18:45.250000,15.9,93.9,1006.5,False,18.4,212,0.5
80,0 days 01:20:45.255000,15.9,93.8,1006.4,False,18.4,143,0.5
81,0 days 01:21:45.238000,15.9,94.4,1006.5,False,18.4,129,0.3
83,0 days 01:23:45.254000,15.9,93.6,1006.4,False,18.4,107,0.5
84,0 days 01:24:45.250000,15.9,94.3,1006.4,False,18.5,55,0.4
86,0 days 01:26:45.259000,15.9,93.7,1006.4,False,18.5,97,0.6
88,0 days 01:28:45.252000,15.8,93.4,1006.4,False,18.4,331,0.6
89,0 days 01:29:45.253000,15.8,93.8,1006.4,False,18.2,100,0.3
91,0 days 01:31:45.259000,15.9,93.6,1006.4,False,18.4,143,0.3
92,0 days 01:32:45.282000,15.9,93.6,1006.3,False,18.4,125,0.3
94,0 days 01:34:45.299000,15.9,93.3,1006.3,False,18.2,110,0.5
95,0 days 01:35:45.297000,15.9,93.3,1006.4,False,18.3,119,0.5
97,0 days 01:37:45.326000,15.9,93.5,1006.2,False,18.4,142,0.4
98,0 days 01:38:45.329000,15.9,93.3,1006.2,False,18.3,158,0.5
100,0 days 01:40:45.320000,15.9,93.1,1006.3,False,18.3,108,0.5
102,0 days 01:42:45.330000,15.9,92.8,1006.3,False,18.3,99,0.6
103,0 days 01:43:45.329000,15.9,92.6,1006.3,False,18.1,123,0.5
105,0 days 01:45:45.331000,15.9,92.9,1006.3,False,18.1,78,0.5
106,0 days 01:46:45.331000,16.0,92.8,1006.3,False,18.1,124,0.6
108,0 days 01:48:45.347000,16.0,92.8,1006.2,False,18.1,162,0.4
109,0 days 01:49:45.360000,16.0,92.8,1006.4,False,18.0,68,0.4
111,0 days 01:51:45.360000,15.9,93.1,1006.4,False,18.0,166,0.4
113,0 days 01:53:45.392000,16.0,92.7,1006.4,False,17.8,147,0.4
114,0 days 01:54:45.410000,16.0,92.8,1006.4,False,17.8,188,0.3
116,0 days 01:56:45.429000,16.0,92.9,1006.5,False,17.8,146,0.5
117,0 days 01:57:45.432000,15.9,93.2,1006.5,False,17.8,190,0.2
119,0 days 01:59:45.455000,15.9,93.0,1006.4,False,17.8,195,0.3
121,0 days 02:01:45.456000,15.9,92.8,1006.4,False,17.8,143,0.3
122,0 days 02:02:45.453000,15.9,92.8,1006.4,False,17.8,138,0.3
124,0 days 02:04:45.453000,15.9,93.0,1006.5,False,17.9,155,0.4
125,0 days 02:05:45.455000,16.0,93.1,1006.4,False,17.9,84,0.2
127,0 days 02:07:45.470000,15.9,93.3,1006.3,False,18.0,106,0.4
128,0 days 02:08:45.491000,15.9,92.6,1006.3,False,18.0,87,0.7
130,0 days 02:10:45.502000,15.9,93.2,1006.3,False,17.8,173,0.4
132,0 days 02:12:45.512000,16.0,93.1,1006.3,False,18.0,119,0.3
133,0 days 02:13:45.536000,15.9,93.1,1006.3,False,18.1,151,0.5
135,0 days 02:15:45.547000,16.0,92.6,1006.3,False,18.1,133,0.4
136,0 days 02:16:45.546000,15.9,92.8,1006.3,False,18.1,120,0.4
138,0 days 02:18:45.594000,15.9,92.8,1006.2,False,17.9,124,0.5
139,0 days 02:19:45.585000,15.9,92.5,1006.3,False,17.9,97,0.5
141,0 days 02:21:45.607000,15.9,92.4,1006.3,False,18.1,112,0.4
143,0 days 02:23:45.580000,16.0,92.1,1006.3,False,18.1,120,0.6
144,0 days 02:24:45.579000,16.0,92.0,1006.3,False,18.1,88,0.6
146,0 days 02:26:45.580000,16.0,92.2,1006.3,False,18.2,160,0.5
148,0 days 02:28:45.568000,16.1,92.4,1006.4,False,18.0,87,0.3
149,0 days 02:29:45.576000,16.1,91.9,1006.3,False,17.9,127,0.6
151,0 days 02:31:45.594000,16.0,92.0,1006.3,False,17.8,117,0.5
152,0 days 02:32:45.610000,16.0,92.1,1006.3,False,18.1,83,0.4
62,0 days 01:02:45.202000,15.8,93.8,1006.3,False,18.4,79,0.7
64,0 days 01:04:45.203000,15.8,94.4,1006.4,False,18.3,96,0.5
65,0 days 01:05:45.202000,15.8,93.7,1006.6,False,18.3,79,0.6
67,0 days 01:07:45.203000,15.8,93.7,1006.4,False,18.4,159,0.7
69,0 days 01:09:45.203000,15.8,94.3,1006.5,False,18.6,114,0.6
70,0 days 01:10:45.212000,15.8,93.9,1006.4,False,18.6,235,0.5
