,Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
111,0 days 01:52:01.508000,25.5,59.0,1013.2,False,27.7,326,2.2
113,0 days 01:54:01.538000,25.5,58.0,1013.2,False,27.8,344,1.2
115,0 days 01:56:01.539000,25.5,57.0,1013.2,False,27.9,329,2.7
116,0 days 01:57:01.557000,25.5,57.0,1013.2,False,27.7,349,2.9
118,0 days 01:59:01.582000,25.4,57.0,1013.2,False,27.6,311,1.8
119,0 days 02:00:01.601000,25.5,57.0,1013.2,False,27.7,341,1.7
121,0 days 02:02:01.603000,25.5,57.0,1013.2,False,27.6,342,1.7
122,0 days 02:03:01.635000,25.5,57.0,1013.2,False,27.6,300,1.7
124,0 days 02:05:01.650000,25.5,56.0,1013.2,False,27.5,326,1.7
126,0 days 02:07:01.663000,25.5,56.0,1013.2,False,27.5,340,1.7
128,0 days 02:09:01.698000,25.5,56.0,1013.2,False,27.5,354,1.7
130,0 days 02:11:01.702000,25.5,56.0,1013.2,False,27.5,5,2.9
132,0 days 02:13:01.704000,25.3,57.0,1013.2,False,27.4,351,2.4
133,0 days 02:14:01.705000,25.4,56.0,1013.2,False,27.4,351,2.7
135,0 days 02:16:01.729000,25.4,57.0,1013.2,False,27.4,20,2.0
136,0 days 02:17:01.734000,25.4,56.0,1013.2,False,27.3,24,1.6
138,0 days 02:19:01.728000,25.4,57.0,1013.2,False,27.3,325,2.5
139,0 days 02:20:01.727000,25.3,57.0,1013.2,False,27.3,320,1.8
141,0 days 02:22:01.766000,25.4,56.0,1013.2,False,27.6,0,2.0
143,0 days 02:24:01.782000,25.5,56.0,1013.2,False,27.5,322,2.2
144,0 days 02:25:01.775000,25.4,57.0,1013.2,False,27.3,331,3.2
146,0 days 02:27:01.776000,25.4,57.0,1013.4,False,27.3,333,2.4
62,0 days 01:03:01.348000,25.3,58.0,1012.5,False,28.6,333,2.5
64,0 days 01:05:01.355000,25.4,58.0,1012.5,False,28.5,352,3.5
65,0 days 01:06:01.352000,25.4,58.0,1012.7,False,28.5,343,1.8
67,0 days 01:08:01.350000,25.5,58.0,1012.7,False,28.5,320,3.5
68,0 days 01:09:01.350000,25.6,58.0,1012.7,False,28.2,348,3.5
70,0 days 01:11:01.348000,25.5,59.0,1012.7,False,28.5,348,1.6
71,0 days 01:12:01.361000,25.5,59.0,1012.7,False,28.5,161,2.4
73,0 days 01:14:01.364000,25.6,60.0,1012.9,False,28.2,339,2.4
75,0 days 01:16:01.390000,25.5,61.0,1012.9,False,28.1,330,2.5
76,0 days 01:17:01.355000,25.5,61.0,1012.9,False,28.3,314,2.2
78,0 days 01:19:01.354000,25.5,60.0,1012.9,False,28.4,339,1.8
79,0 days 01:20:01.351000,25.5,60.0,1012.9,False,28.5,319,1.8
81,0 days 01:22:01.351000,25.5,59.0,1012.9,False,28.4,25,1.6
82,0 days 01:23:01.350000,25.5,59.0,1012.9,False,28.3,329,2.2
84,0 days 01:25:01.352000,25.6,59.0,1013.0,False,28.2,343,2.0
86,0 days 01:27:01.361000,25.5,59.0,1013.0,False,28.3,345,3.0
88,0 days 01:29:01.360000,25.5,59.0,1012.9,False,28.2,357,2.0
91,0 days 01:32:01.353000,25.4,59.0,1012.9,False,27.9,352,2.5
93,0 days 01:34:01.380000,25.4,59.0,1012.9,False,28.2,329,2.9
96,0 days 01:37:01.402000,25.4,59.0,1013.0,False,28.2,344,1.7
98,0 days 01:39:01.401000,25.4,60.0,1013.0,False,27.9,345,1.0
100,0 days 01:41:01.431000,25.4,60.0,1013.0,False,27.7,15,1.5
102,0 days 01:43:01.459000,25.4,59.0,1013.0,False,28.1,341,2.2
103,0 days 01:44:01.475000,25.4,59.0,1013.2,False,27.9,337,1.3
105,0 days 01:46:01.480000,25.4,59.0,1013.0,False,27.8,288,2.2
106,0 days 01:47:01.479000,25.4,60.0,1013.0,False,27.8,11,1.8
108,0 days 01:49:01.499000,25.5,59.0,1013.0,False,27.8,359,2.7
109,0 days 01:50:01.497000,25.5,59.0,1013.2,False,27.8,16,2.5
111,0 days 01:52:01.508000,25.5,59.0,1013.2,False,27.7,326,2.2
113,0 days 01:54:01.538000,25.5,58.0,1013.2,False,27.8,344,1.2
114,0 days 01:55:01.542000,25.5,57.0,1013.2,False,27.8,342,2.2
116,0 days 01:57:01.557000,25.5,57.0,1013.2,False,27.7,349,2.9
117,0 days 01:58:01.580000,25.5,58.0,1013.0,False,27.4,294,2.0
119,0 days 02:00:01.601000,25.5,57.0,1013.2,False,27.7,341,1.7
120,0 days 02:01:01.607000,25.5,57.0,1013.4,False,27.7,33,2.7
122,0 days 02:03:01.635000,25.5,57.0,1013.2,False,27.6,300,1.7
123,0 days 02:04:01.634000,25.5,57.0,1013.2,False,27.5,0,2.0
125,0 days 02:06:01.653000,25.5,56.0,1013.4,False,27.6,329,2.7
127,0 days 02:08:01.681000,25.5,56.0,1013.2,False,27.5,340,1.8
129,0 days 02:10:01.700000,25.5,56.0,1013.2,False,27.5,332,3.5
131,0 days 02:12:01.703000,25.4,57.0,1013.2,False,27.5,349,1.7
133,0 days 02:14:01.705000,25.4,56.0,1013.2,False,27.4,351,2.7
134,0 days 02:15:01.713000,25.3,56.0,1013.2,False,27.4,338,1.6
136,0 days 02:17:01.734000,25.4,56.0,1013.2,False,27.3,24,1.6
137,0 days 02:18:01.732000,25.4,56.0,1013.2,False,27.4,324,4.0
139,0 days 02:20:01.727000,25.3,57.0,1013.2,False,27.3,320,1.8
140,0 days 02:21:01.743000,25.3,56.0,1013.4,False,27.3,338,1.1
142,0 days 02:23:01.805000,25.4,56.0,1013.2,False,27.5,296,1.7
143,0 days 02:24:01.782000,25.5,56.0,1013.2,False,27.5,322,2.2
145,0 days 02:26:01.775000,25.4,57.0,1013.4,False,27.3,333,2.4
62,0 days 01:03:01.348000,25.3,58.0,1012.5,False,28.6,333,2.5
64,0 days 01:05:01.355000,25.4,58.0,1012.5,False,28.5,352,3.5
65,0 days 01:06:01.352000,25.4,58.0,1012.7,False,28.5,343,1.8
67,0 days 01:08:01.350000,25.5,58.0,1012.7,False,28.5,320,3.5
68,0 days 01:09:01.350000,25.6,58.0,1012.7,False,28.2,348,3.5
70,0 days 01:11:01.348000,25.5,59.0,1012.7,False,28.5,348,1.6
72,0 days 01:13:01.350000,25.5,60.0,1012.7,False,28.6,340,1.8
73,0 days 01:14:01.364000,25.6,60.0,1012.9,False,28.2,339,2.4
75,0 days 01:16:01.390000,25.5,61.0,1012.9,False,28.1,330,2.5
77,0 days 01:18:01.348000,25.5,60.0,1012.7,False,28.4,334,1.2
78,0 days 01:19:01.354000,25.5,60.0,1012.9,False,28.4,339,1.8
80,0 days 01:21:01.350000,25.5,59.0,1012.9,False,28.4,343,1.6
81,0 days 01:22:01.351000,25.5,59.0,1012.9,False,28.4,25,1.6
83,0 days 01:24:01.353000,25.5,59.0,1012.9,False,28.3,328,2.5
85,0 days 01:26:01.351000,25.6,59.0,1013.0,False,28.4,331,2.2
86,0 days 01:27:01.361000,25.5,59.0,1013.0,False,28.3,345,3.0
88,0 days 01:29:01.360000,25.5,59.0,1012.9,False,28.2,357,2.0
91,0 days 01:32:01.353000,25.4,59.0,1012.9,False,27.9,352,2.5
93,0 days 01:34:01.380000,25.4,59.0,1012.9,False,28.2,329,2.9
96,0 days 01:37:01.402000,25.4,59.0,1013.0,False,28.2,344,1.7
98,0 days 01:39:01.401000,25.4,60.0,1013.0,False,27.9,345,1.0
100,0 days 01:41:01.431000,25.4,60.0,1013.0,False,27.7,15,1.5
102,0 days 01:43:01.459000,25.4,59.0,1013.0,False,28.1,341,2.2
103,0 days 01:44:01.475000,25.4,59.0,1013.2,False,27.9,337,1.3
105,0 days 01:46:01.480000,25.4,59.0,1013.0,False,27.8,288,2.2
106,0 days 01:47:01.479000,25.4,60.0,1013.0,False,27.8,11,1.8
108,0 days 01:49:01.499000,25.5,59.0,1013.0,False,27.8,359,2.7
110,0 days 01:51:01.498000,25.5,59.0,1013.2,False,27.8,328,2.2
111,0 days 01:52:01.508000,25.5,59.0,1013.2,False,27.7,326,2.2
113,0 days 01:54:01.538000,25.5,58.0,1013.2,False,27.8,344,1.2
114,0 days 01:55:01.542000,25.5,57.0,1013.2,False,27.8,342,2.2
116,0 days 01:57:01.557000,25.5,57.0,1013.2,False,27.7,349,2.9
117,0 days 01:58:01.580000,25.5,58.0,1013.0,False,27.4,294,2.0
119,0 days 02:00:01.601000,25.5,57.0,1013.2,False,27.7,341,1.7
121,0 days 02:02:01.603000,25.5,57.0,1013.2,False,27.6,342,1.7
122,0 days 02:03:01.635000,25.5,57.0,1013.2,False,27.6,300,1.7
62,0 days 01:03:01.348000,25.3,58.0,1012.5,False,28.6,333,2.5
64,0 days 01:05:01.355000,25.4,58.0,1012.5,False,28.5,352,3.5
65,0 days 01:06:01.352000,25.4,58.0,1012.7,False,28.5,343,1.8
67,0 days 01:08:01.350000,25.5,58.0,1012.7,False,28.5,320,3.5
68,0 days 01:09:01.350000,25.6,58.0,1012.7,False,28.2,348,3.5
70,0 days 01:11:01.348000,25.5,59.0,1012.7,False,28.5,348,1.6
71,0 days 01:12:01.361000,25.5,59.0,1012.7,False,28.5,161,2.4
73,0 days 01:14:01.364000,25.6,60.0,1012.9,False,28.2,339,2.4
75,0 days 01:16:01.390000,25.5,61.0,1012.9,False,28.1,330,2.5
76,0 days 01:17:01.355000,25.5,61.0,1012.9,False,28.3,314,2.2
78,0 days 01:19:01.354000,25.5,60.0,1012.9,False,28.4,339,1.8
79,0 days 01:20:01.351000,25.5,60.0,1012.9,False,28.5,319,1.8
81,0 days 01:22:01.351000,25.5,59.0,1012.9,False,28.4,25,1.6
83,0 days 01:24:01.353000,25.5,59.0,1012.9,False,28.3,328,2.5
84,0 days 01:25:01.352000,25.6,59.0,1013.0,False,28.2,343,2.0
86,0 days 01:27:01.361000,25.5,59.0,1013.0,False,28.3,345,3.0
87,0 days 01:28:01.361000,25.6,59.0,1013.0,False,28.3,355,2.7
90,0 days 01:31:01.355000,25.5,59.0,1012.9,False,27.9,330,2.2
93,0 days 01:34:01.380000,25.4,59.0,1012.9,False,28.2,329,2.9
96,0 days 01:37:01.402000,25.4,59.0,1013.0,False,28.2,344,1.7
98,0 days 01:39:01.401000,25.4,60.0,1013.0,False,27.9,345,1.0
100,0 days 01:41:01.431000,25.4,60.0,1013.0,False,27.7,15,1.5
102,0 days 01:43:01.459000,25.4,59.0,1013.0,False,28.1,341,2.2
103,0 days 01:44:01.475000,25.4,59.0,1013.2,False,27.9,337,1.3
105,0 days 01:46:01.480000,25.4,59.0,1013.0,False,27.8,288,2.2
106,0 days 01:47:01.479000,25.4,60.0,1013.0,False,27.8,11,1.8
108,0 days 01:49:01.499000,25.5,59.0,1013.0,False,27.8,359,2.7
109,0 days 01:50:01.497000,25.5,59.0,1013.2,False,27.8,16,2.5
111,0 days 01:52:01.508000,25.5,59.0,1013.2,False,27.7,326,2.2
112,0 days 01:53:01.524000,25.5,59.0,1013.2,False,27.8,311,1.7
114,0 days 01:55:01.542000,25.5,57.0,1013.2,False,27.8,342,2.2
116,0 days 01:57:01.557000,25.5,57.0,1013.2,False,27.7,349,2.9
117,0 days 01:58:01.580000,25.5,58.0,1013.0,False,27.4,294,2.0
119,0 days 02:00:01.601000,25.5,57.0,1013.2,False,27.7,341,1.7
120,0 days 02:01:01.607000,25.5,57.0,1013.4,False,27.7,33,2.7
122,0 days 02:03:01.635000,25.5,57.0,1013.2,False,27.6,300,1.7
123,0 days 02:04:01.634000,25.5,57.0,1013.2,False,27.5,0,2.0
125,0 days 02:06:01.653000,25.5,56.0,1013.4,False,27.6,329,2.7
127,0 days 02:08:01.681000,25.5,56.0,1013.2,False,27.5,340,1.8
129,0 days 02:10:01.700000,25.5,56.0,1013.2,False,27.5,332,3.5
131,0 days 02:12:01.703000,25.4,57.0,1013.2,False,27.5,349,1.7
132,0 days 02:13:01.704000,25.3,57.0,1013.2,False,27.4,351,2.4
134,0 days 02:15:01.713000,25.3,56.0,1013.2,False,27.4,338,1.6
135,0 days 02:16:01.729000,25.4,57.0,1013.2,False,27.4,20,2.0
137,0 days 02:18:01.732000,25.4,56.0,1013.2,False,27.4,324,4.0
139,0 days 02:20:01.727000,25.3,57.0,1013.2,False,27.3,320,1.8
140,0 days 02:21:01.743000,25.3,56.0,1013.4,False,27.3,338,1.1
142,0 days 02:23:01.805000,25.4,56.0,1013.2,False,27.5,296,1.7
143,0 days 02:24:01.782000,25.5,56.0,1013.2,False,27.5,322,2.2
145,0 days 02:26:01.775000,25.4,57.0,1013.4,False,27.3,333,2.4
62,0 days 01:03:01.348000,25.3,58.0,1012.5,False,28.6,333,2.5
64,0 days 01:05:01.355000,25.4,58.0,1012.5,False,28.5,352,3.5
65,0 days 01:06:01.352000,25.4,58.0,1012.7,False,28.5,343,1.8
67,0 days 01:08:01.350000,25.5,58.0,1012.7,False,28.5,320,3.5
69,0 days 01:10:01.361000,25.6,59.0,1012.7,False,28.2,338,2.2
70,0 days 01:11:01.348000,25.5,59.0,1012.7,False,28.5,348,1.6
72,0 days 01:13:01.350000,25.5,60.0,1012.7,False,28.6,340,1.8
73,0 days 01:14:01.364000,25.6,60.0,1012.9,False,28.2,339,2.4
75,0 days 01:16:01.390000,25.5,61.0,1012.9,False,28.1,330,2.5
77,0 days 01:18:01.348000,25.5,60.0,1012.7,False,28.4,334,1.2
78,0 days 01:19:01.354000,25.5,60.0,1012.9,False,28.4,339,1.8
80,0 days 01:21:01.350000,25.5,59.0,1012.9,False,28.4,343,1.6
82,0 days 01:23:01.350000,25.5,59.0,1012.9,False,28.3,329,2.2
83,0 days 01:24:01.353000,25.5,59.0,1012.9,False,28.3,328,2.5
85,0 days 01:26:01.351000,25.6,59.0,1013.0,False,28.4,331,2.2
87,0 days 01:28:01.361000,25.6,59.0,1013.0,False,28.3,355,2.7
89,0 days 01:30:01.351000,25.5,59.0,1013.0,False,28.0,352,2.5
91,0 days 01:32:01.353000,25.4,59.0,1012.9,False,27.9,352,2.5
94,0 days 01:35:01.399000,25.4,60.0,1013.0,False,28.1,334,2.2
96,0 days 01:37:01.402000,25.4,59.0,1013.0,False,28.2,344,1.7
98,0 days 01:39:01.401000,25.4,60.0,1013.0,False,27.9,345,1.0
100,0 days 01:41:01.431000,25.4,60.0,1013.0,False,27.7,15,1.5
102,0 days 01:43:01.459000,25.4,59.0,1013.0,False,28.1,341,2.2
103,0 days 01:44:01.475000,25.4,59.0,1013.2,False,27.9,337,1.3
105,0 days 01:46:01.480000,25.4,59.0,1013.0,False,27.8,288,2.2
107,0 days 01:48:01.494000,25.4,59.0,1013.0,False,27.8,344,1.7
108,0 days 01:49:01.499000,25.5,59.0,1013.0,False,27.8,359,2.7
110,0 days 01:51:01.498000,25.5,59.0,1013.2,False,27.8,328,2.2
111,0 days 01:52:01.508000,25.5,59.0,1013.2,False,27.7,326,2.2
113,0 days 01:54:01.538000,25.5,58.0,1013.2,False,27.8,344,1.2
115,0 days 01:56:01.539000,25.5,57.0,1013.2,False,27.9,329,2.7
116,0 days 01:57:01.557000,25.5,57.0,1013.2,False,27.7,349,2.9
118,0 days 01:59:01.582000,25.4,57.0,1013.2,False,27.6,311,1.8
119,0 days 02:00:01.601000,25.5,57.0,1013.2,False,27.7,341,1.7
121,0 days 02:02:01.603000,25.5,57.0,1013.2,False,27.6,342,1.7
123,0 days 02:04:01.634000,25.5,57.0,1013.2,False,27.5,0,2.0
124,0 days 02:05:01.650000,25.5,56.0,1013.2,False,27.5,326,1.7
126,0 days 02:07:01.663000,25.5,56.0,1013.2,False,27.5,340,1.7
128,0 days 02:09:01.698000,25.5,56.0,1013.2,False,27.5,354,1.7
130,0 days 02:11:01.702000,25.5,56.0,1013.2,False,27.5,5,2.9
132,0 days 02:13:01.704000,25.3,57.0,1013.2,False,27.4,351,2.4
133,0 days 02:14:01.705000,25.4,56.0,1013.2,False,27.4,351,2.7
135,0 days 02:16:01.729000,25.4,57.0,1013.2,False,27.4,20,2.0
136,0 days 02:17:01.734000,25.4,56.0,1013.2,False,27.3,24,1.6
138,0 days 02:19:01.728000,25.4,57.0,1013.2,False,27.3,325,2.5
140,0 days 02:21:01.743000,25.3,56.0,1013.4,False,27.3,338,1.1
141,0 days 02:22:01.766000,25.4,56.0,1013.2,False,27.6,0,2.0
143,0 days 02:24:01.782000,25.5,56.0,1013.2,False,27.5,322,2.2
145,0 days 02:26:01.775000,25.4,57.0,1013.4,False,27.3,333,2.4
62,0 days 01:03:01.348000,25.3,58.0,1012.5,False,28.6,333,2.5
64,0 days 01:05:01.355000,25.4,58.0,1012.5,False,28.5,352,3.5
65,0 days 01:06:01.352000,25.4,58.0,1012.7,False,28.5,343,1.8
67,0 days 01:08:01.350000,25.5,58.0,1012.7,False,28.5,320,3.5
69,0 days 01:10:01.361000,25.6,59.0,1012.7,False,28.2,338,2.2
70,0 days 01:11:01.348000,25.5,59.0,1012.7,False,28.5,348,1.6
72,0 days 01:13:01.350000,25.5,60.0,1012.7,False,28.6,340,1.8
73,0 days 01:14:01.364000,25.6,60.0,1012.9,False,28.2,339,2.4
75,0 days 01:16:01.390000,25.5,61.0,1012.9,False,28.1,330,2.5
77,0 days 01:18:01.348000,25.5,60.0,1012.7,False,28.4,334,1.2
78,0 days 01:19:01.354000,25.5,60.0,1012.9,False,28.4,339,1.8
80,0 days 01:21:01.350000,25.5,59.0,1012.9,False,28.4,343,1.6
81,0 days 01:22:01.351000,25.5,59.0,1012.9,False,28.4,25,1.6
83,0 days 01:24:01.353000,25.5,59.0,1012.9,False,28.3,328,2.5
85,0 days 01:26:01.351000,25.6,59.0,1013.0,False,28.4,331,2.2
86,0 days 01:27:01.361000,25.5,59.0,1013.0,False,28.3,345,3.0
88,0 days 01:29:01.360000,25.5,59.0,1012.9,False,28.2,357,2.0
91,0 days 01:32:01.353000,25.4,59.0,1012.9,False,27.9,352,2.5
93,0 days 01:34:01.380000,25.4,59.0,1012.9,False,28.2,329,2.9
96,0 days 01:37:01.402000,25.4,59.0,1013.0,False,28.2,344,1.7
98,0 days 01:39:01.401000,25.4,60.0,1013.0,False,27.9,345,1.0
100,0 days 01:41:01.431000,25.4,60.0,1013.0,False,27.7,15,1.5
102,0 days 01:43:01.459000,25.4,59.0,1013.0,False,28.1,341,2.2
103,0 days 01:44:01.475000,25.4,59.0,1013.2,False,27.9,337,1.3
105,0 days 01:46:01.480000,25.4,59.0,1013.0,False,27.8,288,2.2
106,0 days 01:47:01.479000,25.4,60.0,1013.0,False,27.8,11,1.8
108,0 days 01:49:01.499000,25.5,59.0,1013.0,False,27.8,359,2.7
110,0 days 01:51:01.498000,25.5,59.0,1013.2,False,27.8,328,2.2
111,0 days 01:52:01.508000,25.5,59.0,1013.2,False,27.7,326,2.2
113,0 days 01:54:01.538000,25.5,58.0,1013.2,False,27.8,344,1.2
114,0 days 01:55:01.542000,25.5,57.0,1013.2,False,27.8,342,2.2
116,0 days 01:57:01.557000,25.5,57.0,1013.2,False,27.7,349,2.9
117,0 days 01:58:01.580000,25.5,58.0,1013.0,False,27.4,294,2.0
119,0 days 02:00:01.601000,25.5,57.0,1013.2,False,27.7,341,1.7
121,0 days 02:02:01.603000,25.5,57.0,1013.2,False,27.6,342,1.7
122,0 days 02:03:01.635000,25.5,57.0,1013.2,False,27.6,300,1.7
124,0 days 02:05:01.650000,25.5,56.0,1013.2,False,27.5,326,1.7
125,0 days 02:06:01.653000,25.5,56.0,1013.4,False,27.6,329,2.7
128,0 days 02:09:01.698000,25.5,56.0,1013.2,False,27.5,354,1.7
130,0 days 02:11:01.702000,25.5,56.0,1013.2,False,27.5,5,2.9
132,0 days 02:13:01.704000,25.3,57.0,1013.2,False,27.4,351,2.4
133,0 days 02:14:01.705000,25.4,56.0,1013.2,False,27.4,351,2.7
135,0 days 02:16:01.729000,25.4,57.0,1013.2,False,27.4,20,2.0
136,0 days 02:17:01.734000,25.4,56.0,1013.2,False,27.3,24,1.6
138,0 days 02:19:01.728000,25.4,57.0,1013.2,False,27.3,325,2.5
140,0 days 02:21:01.743000,25.3,56.0,1013.4,False,27.3,338,1.1
141,0 days 02:22:01.766000,25.4,56.0,1013.2,False,27.6,0,2.0
143,0 days 02:24:01.782000,25.5,56.0,1013.2,False,27.5,322,2.2
144,0 days 02:25:01.775000,25.4,57.0,1013.2,False,27.3,331,3.2
146,0 days 02:27:01.776000,25.4,57.0,1013.4,False,27.3,333,2.4
